id,path,target,grupo,idioma_detectado,locale_publicado
gid://shopify/UrlRedirect/412625207523,/pages/facade-variants/test,/,test_url,es,true
gid://shopify/UrlRedirect/1518269596024,/collections/lienzos,/,coleccion_es_art_lienzo,es,true
gid://shopify/UrlRedirect/1518269628792,/collections/cuadros-rollos,/,coleccion_es_art_lienzo,es,true
gid://shopify/UrlRedirect/1518269661560,/collections/nuevos-cuadros-matchwalls,/,coleccion_es_art_lienzo,es,true
gid://shopify/UrlRedirect/1518269694328,/collections/nuevos-lienzos-matchwalls,/,coleccion_es_art_lienzo,es,true
gid://shopify/UrlRedirect/1532808069496,/no/products/uberort-hvit-murstein-hvit-prove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808102264,/no/products/ibenholt-tre-spor-svart,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808135032,/no/pages/lag-din-egen-tapetrulle,/,legacy_no_page,no,false
gid://shopify/UrlRedirect/1532808167800,/no/products/kastanje-lund-brun,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808200568,/no/collections/tegning-av-bilder-matchwallartprints,/,legacy_no_collection,no,false
gid://shopify/UrlRedirect/1532808233336,/no/products/gronne-fliser-ceraminc-1,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808266104,/no/products/elegant-hvit-murstein-hvit,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808298872,/no/products/rosa-lineaer-kontrast,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808331640,/no/products/soloppgang-geometrisk-rosa,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808364408,/no/products/inspirerende-striper-rosa,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808397176,/no/collections/maleri-landskap-matchwallsmurals,/,legacy_no_collection,no,false
gid://shopify/UrlRedirect/1532808429944,/no/pages/lag-ditt-eget-kunstutskrift,/,legacy_no_page,no,false
gid://shopify/UrlRedirect/1532808462712,/no/products/gronn-pels,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808495480,/no/products/host-eik-planker-brun,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808528248,/no/collections/tabeller-og-lerreter-kommersielle-kontor-matchwallsartprints,/,legacy_no_collection,no,false
gid://shopify/UrlRedirect/1532808561016,/no/pages/lag-ditt-eget-veggmaleri,/,legacy_no_page,no,false
gid://shopify/UrlRedirect/1532808593784,/no/products/lineaer-dynamikk-rosa-prove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808626552,/no/products/barcelona-92-nostalgi-club,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808659320,/no/products/urban-sketch-brown-6,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808692088,/no/products/geometrisk-illusjon-blanco,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808724856,/no/pages/installasjonsveiledning,/,legacy_no_page,no,false
gid://shopify/UrlRedirect/1532808757624,/no/products/rosa-eleganse-abstrakt-prove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808790392,/no/products/flerfargede-veggmalerier-opptar-aktorveggmaleriprove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808823160,/no/products/bomullskarton-striper-rosa-prove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808855928,/no/collections/malte-papirer-kjokken-matchwallswallpapers?page=2,/,legacy_no_collection,no,false
gid://shopify/UrlRedirect/1532808888696,/no/collections/bla-lerreter-matchwallsartprints,/,legacy_no_collection,no,false
gid://shopify/UrlRedirect/1532808921464,/no/products/pop-paisley-blue-5,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808954232,/no/products/stigende-kraner-azul-1,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532808987000,/no/products/svart-og-hvitt-beskyttet-veiprove,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532809019768,/no/products/sakura-verde,/,legacy_no_product,no,false
gid://shopify/UrlRedirect/1532809052536,/no/pages/matchwalls-gavekort,/,legacy_no_page,no,false
