handle,id,legacyResourceId,title,updatedAt,templateSuffix,sortOrder,productsCount,resourcePublicationsCount,seo_hidden,first_8_product_handles,estado
comprar-papel-pintado-alava,gid://shopify/Collection/443626914019,443626914019,Papel pintado Álava,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-albacete,gid://shopify/Collection/646109593976,646109593976,Papel pintado Albacete,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-alicante,gid://shopify/Collection/646109626744,646109626744,Papel pintado Alicante,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-almeria,gid://shopify/Collection/646109659512,646109659512,Papel pintado Almería,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-badajoz,gid://shopify/Collection/646109757816,646109757816,Papel pintado Badajoz,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-burgos,gid://shopify/Collection/646109856120,646109856120,Papel pintado Burgos,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,VERIFICADO PERO MEJORABLE
comprar-papel-pintado-barcelona,gid://shopify/Collection/646109790584,646109790584,Papel pintado Barcelona,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,STANDBY
comprar-papel-pintado-madrid,gid://shopify/Collection/443626979555,443626979555,Papel pintado Madrid,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,STANDBY
comprar-papel-pintado-paris,gid://shopify/Collection/646199804280,646199804280,Papel Pintado París,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,STANDBY
comprar-papel-pintado-toulouse,gid://shopify/Collection/646199837048,646199837048,Papel Pintado Toulouse,2026-06-15T12:49:07Z,,MANUAL,73,9,,highland-plaid-marron|horizonte-natural-verde|brizna-blanco-y-negro|whispering-woods-azul|bosque-tropical-acuarela-azul|arty-dots-multicolor|wilderness-whispers-azul|whispering-reeds-wallpaper-beige,STANDBY
