country,page_id,base_handle,locale,field,outdated,updated_at,handle_status,estado
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,fr,title,false,2026-07-03T16:28:58Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,fr,body_html,false,2026-07-03T16:28:59Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,fr,handle,false,2024-11-06T23:36:05Z,conservado,VERIFICADO Y CORRECTO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,en,title,false,2026-07-03T16:40:51Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,en,body_html,false,2026-07-03T16:40:51Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,en,handle,false,2024-11-16T16:18:12Z,conservado,VERIFICADO Y CORRECTO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,de,title,false,2026-07-03T16:48:12Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,de,body_html,false,2026-07-03T16:48:12Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,de,handle,false,2024-11-16T16:18:14Z,conservado,VERIFICADO Y CORRECTO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,nl,title,false,2026-07-03T16:51:12Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,nl,body_html,false,2026-07-03T16:51:12Z,conservado,CORREGIDO Y VERIFICADO
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,nl,handle,false,2024-11-16T16:18:14Z,conservado,VERIFICADO Y CORRECTO
France,gid://shopify/Page/687276654968,papel-pintado-francia,fr,title,false,2026-07-03T11:58:07Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,fr,body_html,false,2026-07-03T11:58:08Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,fr,handle,false,2024-11-06T23:37:00Z,conservado,VERIFICADO Y CORRECTO
France,gid://shopify/Page/687276654968,papel-pintado-francia,en,title,false,2026-07-03T16:56:09Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,en,body_html,false,2026-07-03T16:56:09Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,en,handle,false,2024-11-16T16:18:15Z,conservado,VERIFICADO Y CORRECTO
France,gid://shopify/Page/687276654968,papel-pintado-francia,de,title,false,2026-07-03T16:59:10Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,de,body_html,false,2026-07-03T16:59:10Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,de,handle,false,2024-11-16T16:18:15Z,conservado,VERIFICADO Y CORRECTO
France,gid://shopify/Page/687276654968,papel-pintado-francia,nl,title,false,2026-07-03T17:01:43Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,nl,body_html,false,2026-07-03T17:01:43Z,conservado,CORREGIDO Y VERIFICADO
France,gid://shopify/Page/687276654968,papel-pintado-francia,nl,handle,false,2024-11-16T16:18:27Z,conservado,VERIFICADO Y CORRECTO
