check,item,expected,actual,status,notes
total_redirects,shopify_url_redirects_count,614,614,CORREGIDO Y VERIFICADO,"Total sin cambios tras actualizar targets"
updated_target,gid://shopify/UrlRedirect/417580974307,/fr/collections/peintures-murales-florales-matchwallsmurals,/fr/collections/peintures-murales-florales-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581007075,/fr/collections/peintures-murales-graphiques-matchwallsmurals,/fr/collections/peintures-murales-graphiques-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581039843,/fr/collections/peintures-murales-geometriques-matchwallsmurs,/fr/collections/peintures-murales-geometriques-matchwallsmurs,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581072611,/fr/collections/peintures-murales-de-la-nature-matchwallsmurals,/fr/collections/peintures-murales-de-la-nature-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581105379,/fr/collections/rayons-muraux-matchwallsmurals,/fr/collections/rayons-muraux-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581138147,/fr/collections/peintures-murales-japonaises-matchwallsmurals,/fr/collections/peintures-murales-japonaises-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581170915,/fr/collections/murale-murale-matchwallsmurals,/fr/collections/murale-murale-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581236451,/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals,/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581269219,/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals,/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581301987,/fr/collections/mindicules-de-cuisine-matchwallsmurals,/fr/collections/mindicules-de-cuisine-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581334755,/fr/collections/peintures-murales-de-chambre-matchwallsmurals,/fr/collections/peintures-murales-de-chambre-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
updated_target,gid://shopify/UrlRedirect/417581400291,/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals,/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals,CORREGIDO Y VERIFICADO,"Target actualizado"
excluded_fr_404,gid://shopify/UrlRedirect/417581367523,/fr/collections/mural-murals-matchwallsmurals,/fr/collections/mural-murals-matchwallsmurals,INCORRECTO,"Excluido y no modificado; requiere decision separada"
