check,item,expected,actual,status,notes
total_redirects,shopify_url_redirects_count,614,614,CORREGIDO Y VERIFICADO,"Total tras eliminar 6 redirects desde 620"
deleted_id,gid://shopify/UrlRedirect/408237834467,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
deleted_id,gid://shopify/UrlRedirect/408370151651,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
deleted_id,gid://shopify/UrlRedirect/408474484963,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
deleted_id,gid://shopify/UrlRedirect/408525930723,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
deleted_id,gid://shopify/UrlRedirect/408525996259,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
deleted_id,gid://shopify/UrlRedirect/408514429155,null,null,CORREGIDO Y VERIFICADO,"ID eliminado"
path_redirects,/products/poster-de-papel-mate-calidad-museo-con-marco-de-madera,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
path_redirects,/products/endless-horizon-3,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
path_redirects,/products/rusted-horizon-marron-copia,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
path_redirects,/products/urban-geometrico,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
path_redirects,/products/urban-geometrico-beige-copia,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
path_redirects,/products/urban-sketch-beige-copia,0,0,CORREGIDO Y VERIFICADO,"Sin redirects por path"
standby_redirect,gid://shopify/UrlRedirect/412616229091,"/products/muestra-desnudos-blanco-y-negro -> /collections/muestras","/products/muestra-desnudos-blanco-y-negro -> /collections/muestras",STANDBY,"Excluido y no modificado"
