country,page_id,base_handle,base_title,base_updated_at,locale,localized_handle,title_value,title_outdated,body_html_outdated,estado,nota
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",2026-07-03T11:56:37Z,es,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",false,false,CORREGIDO Y VERIFICADO,"Base ES corregida en 012F."
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",2026-07-03T11:56:37Z,fr,papier-peint-en-espagne,"Papier Peint Espagne",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo de envíos gratuitos y listado provincial."
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",2026-07-03T11:56:37Z,en,spain-wallpaper,"Spain wallpaper",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo y traducciones literales."
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",2026-07-03T11:56:37Z,de,spanien-tapete,"Spanien Tapete",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo y traducciones literales."
Spain,gid://shopify/Page/687276622200,papel-pintado-espana,"Papel pintado en España para hogares y proyectos profesionales",2026-07-03T11:56:37Z,nl,spanje-behang,"Spanje behang",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo y traducciones literales."
France,gid://shopify/Page/687276654968,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",2026-07-03T11:57:06Z,es,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",false,false,CORREGIDO Y VERIFICADO,"Base ES corregida en 012F."
France,gid://shopify/Page/687276654968,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",2026-07-03T11:57:06Z,fr,papier-peint-en-france,"Papier peint en France pour intérieurs résidentiels et projets professionnels",false,false,CORREGIDO Y VERIFICADO,"Traducción FR corregida en 012F."
France,gid://shopify/Page/687276654968,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",2026-07-03T11:57:06Z,en,french-wallpaper,"French wallpaper",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo de envíos gratuitos."
France,gid://shopify/Page/687276654968,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",2026-07-03T11:57:06Z,de,franzosische-tapete,"Französische Tapete",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo y traducciones literales."
France,gid://shopify/Page/687276654968,papel-pintado-francia,"Papel pintado en Francia para interiores y proyectos profesionales",2026-07-03T11:57:06Z,nl,frans-behang,"Frans behang",true,true,INCORRECTO,"Traducción publicada obsoleta; conserva body antiguo y traducciones literales."
