lote,fecha,fuente,item,valor,estado
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,shop.name,Matchwalls,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,shop.url,https://www.matchwalls.com,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,primaryDomain.host,www.matchwalls.com,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,primaryDomain.sslEnabled,true,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.es,"primary=true; published=true",VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.en,"primary=false; published=true",VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.fr,"primary=false; published=true",VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.de,"primary=false; published=true",VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.nl,"primary=false; published=true",VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.it,"primary=false; published=true; fuera de prioridad activa",DECLARADO PERO NO VERIFICADO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,locale.pt-PT,"primary=false; published=true; fuera de prioridad activa",DECLARADO PERO NO VERIFICADO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,webPresence.domain,https://www.matchwalls.com,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,webPresence.defaultLocale,es,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,rootUrl.es,https://www.matchwalls.com/,VERIFICADO Y CORRECTO
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,rootUrl.en,https://www.matchwalls.com/en/,VERIFICADO PERO MEJORABLE
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,rootUrl.fr,https://www.matchwalls.com/fr/,VERIFICADO PERO MEJORABLE
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,rootUrl.de,https://www.matchwalls.com/de/,VERIFICADO PERO MEJORABLE
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,Shopify Admin,rootUrl.nl,https://www.matchwalls.com/nl/,VERIFICADO PERO MEJORABLE
