group,id,path,target
target:/collections/murales,gid://shopify/UrlRedirect/410026868963,/collections/murales-mvp,/collections/murales
target:/collections/murales,gid://shopify/UrlRedirect/410027000035,/collections/papeles-pintados,/collections/murales
target:/collections/murales,gid://shopify/UrlRedirect/417318207715,/collections/papeles-pintados-old,/collections/murales
target:/collections/murales,gid://shopify/UrlRedirect/417542701283,/collections/%20papeles-pintados,/collections/murales
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/417581203683,/en/collections/matchwalls-painted-papers-matchwallswallpapers,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534384832888,/el/collections/%cf%8c%ce%bb%ce%b5%cf%82-%cf%84%ce%b9%cf%82-%cf%84%ce%bf%ce%b9%cf%87%ce%bf%ce%b3%cf%81%ce%b1%cf%86%ce%af%ce%b5%cf%82-matchwallsmurals,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534387585400,/sv/collections/alla-matchwallsmurals-vaggmalningar,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534390206840,/he/collections/%d7%9b%d7%9c-%d7%a6%d7%99%d7%95%d7%a8%d7%99-%d7%94%d7%a7%d7%99%d7%a8-matchwallsmurals,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534391484792,/pl/collections/all-matchwallsmurals-malowidlo,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534392795512,/hu/collections/az-osszes-matchwallsmurals-falfestmeny,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534394106232,/hi/collections/%e0%a4%b8%e0%a4%ad%e0%a5%80-matchwallsmurals-%e0%a4%ad%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a4%bf-%e0%a4%9a%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%b0,/en/collections/all-matchwallsmurals-murals
target:/en/collections/all-matchwallsmurals-murals,gid://shopify/UrlRedirect/1534395416952,/ja/collections/%e3%81%99%e3%81%b9%e3%81%a6%e3%81%ae-matchwallsmurals%e3%81%ae%e5%a3%81%e7%94%bb,/en/collections/all-matchwallsmurals-murals
