resource_type,handle,admin_status,id,title,estado
product,poster-de-papel-mate-calidad-museo-con-marco-de-madera,not_found,,,INCORRECTO
product,echoing-corridor-3,not_found,,,INCORRECTO
product,endless-horizon-3,not_found,,,INCORRECTO
product,echoing-corridor,not_found,,,INCORRECTO
product,rusted-horizon-marron-copia,not_found,,,INCORRECTO
product,ember-glow-marron,not_found,,,INCORRECTO
product,muestra-desnudos-blanco-y-negro,DRAFT,gid://shopify/Product/8561719247075,Muestra de Desnudos Blanco y negro,VERIFICADO PERO MEJORABLE
collection,muestras,not_found,,,INCORRECTO
product,urban-geometrico,not_found,,,INCORRECTO
product,urban-geometrico-beige,not_found,,,INCORRECTO
product,urban-geometrico-beige-copia,not_found,,,INCORRECTO
product,urban-geometrico-gris,not_found,,,INCORRECTO
product,urban-sketch-beige-copia,not_found,,,INCORRECTO
product,melodic-flow,not_found,,,INCORRECTO
