product_gid,legacy_resource_id,title,representative_url,rolling_block,previous_seo_hidden,new_seo_hidden_value,new_seo_hidden_type,admin_verified_by,admin_updatedAt_observed,status,productType,templateSuffix,estado
gid://shopify/Product/14835716227448,14835716227448,Muestra de Cityscape Confetti Azul,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-azul,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835716456824,14835716456824,Muestra de Cityscape Confetti Beige,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-beige,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835715998072,14835715998072,Muestra de Cityscape Confetti Multicolor,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-multicolor,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835716358520,14835716358520,Muestra de Cityscape Confetti Rosa,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-rosa,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835716555128,14835716555128,Muestra de Cityscape Confetti Verde,https://www.matchwalls.com/products/muestra-de-cityscape-confetti-verde,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835721503096,14835721503096,Muestra de Clásico Contemporáneo  Gris,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-gris,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835721798008,14835721798008,Muestra de Clásico Contemporáneo Azul,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-azul,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835721961848,14835721961848,Muestra de Clásico Contemporáneo Beige,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-beige,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-rosa,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-verde,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/products/muestra-de-cosmic-dance-azul,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-azul,011B5-01,null,1,number_integer,GraphQL ReadProductsForSeoHidden final read,2026-06-26T22:53:54Z,ACTIVE,Muestra,muestra,CORREGIDO Y VERIFICADO
