id,path,target,public_final_status,redirect_hops,final_url,final_canonical,final_h1,source_in_sitemap_exact,target_in_sitemap_exact,visible_noindex,estado,decision_recomendada,motivo,siguiente_accion
gid://shopify/UrlRedirect/410026868963,/collections/murales-mvp,/collections/murales,200,1,https://www.matchwalls.com/collections/murales,https://www.matchwalls.com/collections/murales,Todos los Papeles Pintados,no,yes,no,STANDBY,STANDBY,Legacy de campa?a/MVP; 1 salto limpio a canonical; sin evidencia de tr?fico no conviene borrar.,Revisar con GSC/analytics antes de cualquier eliminaci?n.
gid://shopify/UrlRedirect/410027000035,/collections/papeles-pintados,/collections/murales,200,1,https://www.matchwalls.com/collections/murales,https://www.matchwalls.com/collections/murales,Todos los Papeles Pintados,no,yes,no,VERIFICADO Y CORRECTO,CONSERVAR,Legacy sem?ntico ES ya consolidado a 1 salto; no est? en sitemap exacto; final 200 con canonical a /collections/murales.,No tocar salvo que Search Console demuestre cero valor y se apruebe pol?tica espec?fica.
gid://shopify/UrlRedirect/417318207715,/collections/papeles-pintados-old,/collections/murales,200,1,https://www.matchwalls.com/collections/murales,https://www.matchwalls.com/collections/murales,Todos los Papeles Pintados,no,yes,no,VERIFICADO PERO MEJORABLE,CONSERVAR EN STANDBY,"Legacy intermedio hist?rico; ya no encadena desde /collections/papeles-pintados, pero puede proteger enlaces antiguos directos.",Mantener hasta disponer de datos GSC/servidor; no eliminar ahora.
gid://shopify/UrlRedirect/417542701283,/collections/%20papeles-pintados,/collections/murales,200,1,https://www.matchwalls.com/collections/murales,https://www.matchwalls.com/collections/murales,Todos los Papeles Pintados,no,yes,no,VERIFICADO PERO MEJORABLE,CONSERVAR EN STANDBY,URL malformada con espacio codificado; 1 salto limpio evita 404; no est? en sitemap.,Mantener como protecci?n t?cnica salvo evidencia de nulo uso y aprobaci?n de limpieza.
gid://shopify/UrlRedirect/417581203683,/en/collections/matchwalls-painted-papers-matchwallswallpapers,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,VERIFICADO PERO MEJORABLE,CONSERVAR EN STANDBY,Legacy EN prioritario; 1 salto a URL EN can?nica; no est? en sitemap exacto.,Mantener hasta revisar se?ales externas/consultas EN.
gid://shopify/UrlRedirect/1534384832888,/el/collections/%cf%8c%ce%bb%ce%b5%cf%82-%cf%84%ce%b9%cf%82-%cf%84%ce%bf%ce%b9%cf%87%ce%bf%ce%b3%cf%81%ce%b1%cf%86%ce%af%ce%b5%cf%82-matchwallsmurals,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
gid://shopify/UrlRedirect/1534387585400,/sv/collections/alla-matchwallsmurals-vaggmalningar,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
gid://shopify/UrlRedirect/1534390206840,/he/collections/%d7%9b%d7%9c-%d7%a6%d7%99%d7%95%d7%a8%d7%99-%d7%94%d7%a7%d7%99%d7%a8-matchwallsmurals,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
gid://shopify/UrlRedirect/1534391484792,/pl/collections/all-matchwallsmurals-malowidlo,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
gid://shopify/UrlRedirect/1534392795512,/hu/collections/az-osszes-matchwallsmurals-falfestmeny,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
gid://shopify/UrlRedirect/1534394106232,/hi/collections/%e0%a4%b8%e0%a4%ad%e0%a5%80-matchwallsmurals-%e0%a4%ad%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a4%bf-%e0%a4%9a%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%b0,/en/collections/all-matchwallsmurals-murals,200,1,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals,All Wallpaper,no,yes,no,STANDBY,STANDBY,"Legacy de idioma no prioritario redirigido a EN; t?cnicamente estable, pero requiere pol?tica global de idiomas legacy antes de borrar o reorientar.","No modificar en este lote; decidir en bloque de idiomas legacy si se conserva, se reorienta a idioma local o se retira."
