"locale","id","path","current_target","source_status_chain","source_hops","final_status","final_url","state","issue","recommendation","next_lote"
"fr","gid://shopify/UrlRedirect/417580974307","/fr/collections/floral-painted-papers-matchwallswallspapers","/fr/collections/floral-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581007075","/fr/collections/painted-papers-graphic-matchwallswallpapers-1","/fr/collections/graphical-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581039843","/fr/collections/geometric-paints-matchwalswallpapers","/fr/collections/geometric-murals-matchwallsmurs","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581072611","/fr/collections/nature-painted-papers-matchwallswallpapers","/fr/collections/nature-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581105379","/fr/collections/wall-paper-matchwallswallpapers","/fr/collections/rays-mural-matchwallsmurals-1","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581138147","/fr/collections/japanese-painted-papers-matchwallswallpapers","/fr/collections/japanese-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581170915","/fr/collections/painted-papeles-marble-matchwallswallpa","/fr/collections/mural-mural-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581236451","/fr/collections/painted-papers-matchwallswallpapers","/fr/collections/murals-for-the-matchwallsmurals-room","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581269219","/fr/collections/painted-dining-papers-matchwallswallpapers","/fr/collections/mural-for-the-matchwallsmurals-dining-room","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581301987","/fr/collections/painted-papers-kitchen-matchwallswallpapers","/fr/collections/kitchen-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/mindicules-de-cuisine-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
