page,country,lang,resource_id_or_langshop,url,current_handle,write_system,insert_after_heading,insert_before_heading,proposed_h2,proposed_html,target_url,target_anchor,status,notes
Spain ES,Spain,ES,gid://shopify/Page/687276622200,https://www.matchwalls.com/pages/papel-pintado-espana,papel-pintado-espana,Shopify native page body,"Ciudades y zonas estratégicas","Preguntas frecuentes","Papel pintado por país","<h2>Papel pintado por país</h2><p>Estás consultando las soluciones para España. Si tu proyecto se desarrolla en Francia o quieres comparar opciones para otro mercado, consulta la guía de <a href=""/pages/papel-pintado-francia"">papel pintado en Francia</a>.</p>",https://www.matchwalls.com/pages/papel-pintado-francia,papel pintado en Francia,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
Spain EN,Spain,EN,LangShop translation for gid://shopify/Page/687276622200,https://www.matchwalls.com/en/pages/spain-wallpaper,spain-wallpaper,LangShop page body translation,"Strategic cities and areas","Frequently asked questions","Wallpaper by country","<h2>Wallpaper by country</h2><p>You are viewing the solutions for Spain. If your project is in France or you want to compare options for another market, read the guide to <a href=""/en/pages/french-wallpaper"">wallpaper in France</a>.</p>",https://www.matchwalls.com/en/pages/french-wallpaper,wallpaper in France,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
Spain FR,Spain,FR,LangShop translation for gid://shopify/Page/687276622200,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,papier-peint-en-espagne,LangShop page body translation,"Villes et zones stratégiques","Questions fréquentes","Papier peint par pays","<h2>Papier peint par pays</h2><p>Vous consultez les solutions pour l’Espagne. Si votre projet se situe en France ou si vous souhaitez comparer les options pour un autre marché, consultez notre guide du <a href=""/fr/pages/papier-peint-en-france"">papier peint en France</a>.</p>",https://www.matchwalls.com/fr/pages/papier-peint-en-france,papier peint en France,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
Spain DE,Spain,DE,LangShop translation for gid://shopify/Page/687276622200,https://www.matchwalls.com/de/pages/spanien-tapete,spanien-tapete,LangShop page body translation,"Strategische Städte und Regionen","Häufige Fragen","Tapeten nach Land","<h2>Tapeten nach Land</h2><p>Sie sehen die Lösungen für Spanien. Wenn Ihr Projekt in Frankreich liegt oder Sie Optionen für einen weiteren Markt vergleichen möchten, lesen Sie den Leitfaden zu <a href=""/de/pages/franzosische-tapete"">Tapeten in Frankreich</a>.</p>",https://www.matchwalls.com/de/pages/franzosische-tapete,Tapeten in Frankreich,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
Spain NL,Spain,NL,LangShop translation for gid://shopify/Page/687276622200,https://www.matchwalls.com/nl/pages/spanje-behang,spanje-behang,LangShop page body translation,"Strategische steden en regio’s","Veelgestelde vragen","Behang per land","<h2>Behang per land</h2><p>Je bekijkt de oplossingen voor Spanje. Als je project zich in Frankrijk bevindt of je opties voor een andere markt wilt vergelijken, bekijk dan de gids over <a href=""/nl/pages/frans-behang"">behang in Frankrijk</a>.</p>",https://www.matchwalls.com/nl/pages/frans-behang,behang in Frankrijk,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
France ES,France,ES,gid://shopify/Page/687276654968,https://www.matchwalls.com/pages/papel-pintado-francia,papel-pintado-francia,Shopify native page body,"Ciudades estratégicas en Francia","Preguntas frecuentes","Papel pintado por país","<h2>Papel pintado por país</h2><p>Estás consultando las soluciones para Francia. Si tu proyecto se desarrolla en España o quieres comparar opciones para otro mercado, consulta la guía de <a href=""/pages/papel-pintado-espana"">papel pintado en España</a>.</p>",https://www.matchwalls.com/pages/papel-pintado-espana,papel pintado en España,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
France EN,France,EN,LangShop translation for gid://shopify/Page/687276654968,https://www.matchwalls.com/en/pages/french-wallpaper,french-wallpaper,LangShop page body translation,"Strategic cities in France","Frequently asked questions","Wallpaper by country","<h2>Wallpaper by country</h2><p>You are viewing the solutions for France. If your project is in Spain or you want to compare options for another market, read the guide to <a href=""/en/pages/spain-wallpaper"">wallpaper in Spain</a>.</p>",https://www.matchwalls.com/en/pages/spain-wallpaper,wallpaper in Spain,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
France FR,France,FR,LangShop translation for gid://shopify/Page/687276654968,https://www.matchwalls.com/fr/pages/papier-peint-en-france,papier-peint-en-france,LangShop page body translation,"Villes stratégiques en France","Questions fréquentes","Papier peint par pays","<h2>Papier peint par pays</h2><p>Vous consultez les solutions pour la France. Si votre projet se situe en Espagne ou si vous souhaitez comparer les options pour un autre marché, consultez notre guide du <a href=""/fr/pages/papier-peint-en-espagne"">papier peint en Espagne</a>.</p>",https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,papier peint en Espagne,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
France DE,France,DE,LangShop translation for gid://shopify/Page/687276654968,https://www.matchwalls.com/de/pages/franzosische-tapete,franzosische-tapete,LangShop page body translation,"Strategische Städte in Frankreich","Häufige Fragen","Tapeten nach Land","<h2>Tapeten nach Land</h2><p>Sie sehen die Lösungen für Frankreich. Wenn Ihr Projekt in Spanien liegt oder Sie Optionen für einen weiteren Markt vergleichen möchten, lesen Sie den Leitfaden zu <a href=""/de/pages/spanien-tapete"">Tapeten in Spanien</a>.</p>",https://www.matchwalls.com/de/pages/spanien-tapete,Tapeten in Spanien,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
France NL,France,NL,LangShop translation for gid://shopify/Page/687276654968,https://www.matchwalls.com/nl/pages/frans-behang,frans-behang,LangShop page body translation,"Strategische steden in Frankrijk","Veelgestelde vragen","Behang per land","<h2>Behang per land</h2><p>Je bekijkt de oplossingen voor Frankrijk. Als je project zich in Spanje bevindt of je opties voor een andere markt wilt vergelijken, bekijk dan de gids over <a href=""/nl/pages/spanje-behang"">behang in Spanje</a>.</p>",https://www.matchwalls.com/nl/pages/spanje-behang,behang in Spanje,PROPUESTO,"No cambiar handle, title, SEO fields ni FAQ"
