rank_export,country_code,country_label,market_bucket,impressions,impression_share,clicks,click_share,ctr_export,avg_position_export,status,priority,risk_note,recommendation
1,ww,Worldwide / unknown bucket,Agregado/unknown,456,60.88%,1,33.33%,0.22%,0.0,VERIFICADO PERO MEJORABLE,ALTA,Bucket mundial/no determinado: concentra la mayor?a de impresiones y limita decisiones por pa?s.,Usar solo como se?al agregada; no crear landings por pa?s a partir de ww.
2,us,United States,Futuro EN-US,38,5.07%,0,0.00%,0%,0.0,VERIFICADO PERO MEJORABLE,MEDIA,Mercado futuro; no usar copy gen?rico ni claims log?sticos sin validaci?n.,Mantener en observaci?n para fase EN-US/NA cuando log?stica est? clara.
3,jp,Japan,No prioritario,7,0.93%,0,0.00%,0%,0.0,REQUIERE DECISION HUMANA,BAJA,Mercado no prioritario o sin volumen accionable.,No accionar; monitorizar.
4,it,Italy,IT fuera prioridad,12,1.60%,0,0.00%,0%,0.0,STANDBY,BAJA,Fuera de idiomas prioritarios actuales; no accionar sin autorizaci?n expresa.,No crear ni editar contenido ahora; conservar como se?al para Fase 2 o limpieza defensiva.
5,gb,United Kingdom,Prioritario EN-UK,4,0.53%,0,0.00%,0%,0.0,VERIFICADO PERO MEJORABLE,MEDIA,Mercado prioritario o estrat?gico con datos reales; requiere cruce con URLs/queries antes de cambios.,Priorizar revisi?n con keywords/pages; no modificar contenido sin mapa query-URL.
6,fr,France,Prioritario FR,68,9.08%,0,0.00%,0%,0.0,VERIFICADO PERO MEJORABLE,ALTA,Mercado prioritario o estrat?gico con datos reales; requiere cruce con URLs/queries antes de cambios.,Priorizar revisi?n con keywords/pages; no modificar contenido sin mapa query-URL.
7,es,Spain,Prioritario ES,112,14.95%,1,33.33%,0.89%,0.0,VERIFICADO PERO MEJORABLE,ALTA,Mercado prioritario o estrat?gico con datos reales; requiere cruce con URLs/queries antes de cambios.,Priorizar revisi?n con keywords/pages; no modificar contenido sin mapa query-URL.
8,de,Germany,Prioritario DE,11,1.47%,0,0.00%,0%,0.0,VERIFICADO PERO MEJORABLE,MEDIA,Mercado prioritario o estrat?gico con datos reales; requiere cruce con URLs/queries antes de cambios.,Priorizar revisi?n con keywords/pages; no modificar contenido sin mapa query-URL.
9,cn,China,No prioritario,0,0.00%,0,0.00%,0%,0.0,VERIFICADO Y CORRECTO,BAJA,Mercado no prioritario o sin volumen accionable.,No accionar; monitorizar.
10,ca,Canada,Futuro/EN,1,0.13%,0,0.00%,0%,0.0,VERIFICADO PERO MEJORABLE,MEDIA,Mercado futuro; no usar copy gen?rico ni claims log?sticos sin validaci?n.,Mantener en observaci?n para fase EN-US/NA cuando log?stica est? clara.
11,br,Brazil,PT-BR fuera prioridad,40,5.34%,1,33.33%,2.5%,0.0,STANDBY,BAJA,Fuera de idiomas prioritarios actuales; no accionar sin autorizaci?n expresa.,No crear ni editar contenido ahora; conservar como se?al para Fase 2 o limpieza defensiva.
