lote,queue_rank,priority,url,bingbot_status,server_or_stage,x_request_id,cache_control,access_state,interpretation
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,1,ALTA,https://www.matchwalls.com/collections/murales-estilo-geometrico,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,2,ALTA,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,3,ALTA,https://www.matchwalls.com/collections/murales-para-el-pasillo,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,4,ALTA,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,5,MEDIA,https://www.matchwalls.com/collections/papeles-pintados-color-negro,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,6,MEDIA,https://www.matchwalls.com/products/gingham-charm-rosa,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,7,MEDIA,https://www.matchwalls.com/pages/medidas-paredes,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,8,MEDIA,https://www.matchwalls.com/products/gingham-charm-verde,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,9,MEDIA,https://www.matchwalls.com/collections/papeles-pintados-color-verde,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,10,MEDIA,https://www.matchwalls.com/en/collections/salamanca-wallpaper,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,11,MEDIA,https://www.matchwalls.com/en/collections/tarragona-wallpaper,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,12,BAJA,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,13,BAJA,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,14,BAJA,https://www.matchwalls.com/products/marejada-azul,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,15,BAJA,https://www.matchwalls.com/collections/papeles-pintados-color-lila,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,16,BAJA,https://www.matchwalls.com/collections/murales-estilo-paisajes,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,17,BAJA,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,18,BAJA,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,19,BAJA,https://www.matchwalls.com/products/polka-dot-delight-rosa,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,20,BAJA,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,429,cloudflare,,,INCOMPLETO,"429 from Cloudflare in QA environment; does not prove real Bingbot is blocked, but requires WAF/CDN review before more crawler QA"
