lote,queue_rank,priority,url,status_bingbot,final_url_bingbot,redirect_count_bingbot,elapsed_ms_bingbot,x_request_id,served_by,render_ms,cache_control,error,crawler_state
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,1,ALTA,https://www.matchwalls.com/collections/murales-estilo-geometrico,429,https://www.matchwalls.com/collections/murales-estilo-geometrico,0,168,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,2,ALTA,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,429,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,0,152,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,3,ALTA,https://www.matchwalls.com/collections/murales-para-el-pasillo,429,https://www.matchwalls.com/collections/murales-para-el-pasillo,0,185,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,4,ALTA,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,429,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,0,151,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,5,MEDIA,https://www.matchwalls.com/collections/papeles-pintados-color-negro,429,https://www.matchwalls.com/collections/papeles-pintados-color-negro,0,133,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,6,MEDIA,https://www.matchwalls.com/products/gingham-charm-rosa,429,https://www.matchwalls.com/products/gingham-charm-rosa,0,138,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,7,MEDIA,https://www.matchwalls.com/pages/medidas-paredes,429,https://www.matchwalls.com/pages/medidas-paredes,0,148,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,8,MEDIA,https://www.matchwalls.com/products/gingham-charm-verde,429,https://www.matchwalls.com/products/gingham-charm-verde,0,184,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,9,MEDIA,https://www.matchwalls.com/collections/papeles-pintados-color-verde,429,https://www.matchwalls.com/collections/papeles-pintados-color-verde,0,216,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,10,MEDIA,https://www.matchwalls.com/en/collections/salamanca-wallpaper,429,https://www.matchwalls.com/en/collections/salamanca-wallpaper,0,166,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
