lote;timestamp;url;user_agent;run;status;duration_ms;response_length;x_request_id;cf_ray;server;content_type;cache_control;edge;theme_id;page_type;served_by;render_ms;marker
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:40+02:00;https://www.matchwalls.com/;Bingbot;1;200;3863;1716597;88787b17-e25a-47c3-adf1-e2f3a6d94368-1783249959;a165ef998cbf2183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;5m4w;;html
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:43+02:00;https://www.matchwalls.com/;Bingbot;2;500;3139;11009;7d3b7d2d-fec8-45d5-8fe1-de787c4f25ee-1783249963;a165efafee8a2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;mvhx;1524;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:47+02:00;https://www.matchwalls.com/;Bingbot;3;200;2538;1716597;4bfa5e51-a1ef-4c3f-b2f4-605394dd559e-1783249966;a165efc3cf3d2183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;wtdh;;html
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:49+02:00;https://www.matchwalls.com/;Bingbot;4;500;3099;11009;99ff8a84-70ce-45c7-a6b2-75e4188fe6cc-1783249969;a165efd3bc5a2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;mp8j;1579;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:52+02:00;https://www.matchwalls.com/;OAI-SearchBot;1;500;3104;11009;49062a87-3951-46e0-8cc6-f2d4c9cacd1e-1783249972;a165efe70cec2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;jxcr;1419;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:55+02:00;https://www.matchwalls.com/;OAI-SearchBot;2;200;2683;1716597;7a9ba609-a381-4125-8f56-5b138231eb03-1783249975;a165effa7e772183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;r9cv;;html
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:12:58+02:00;https://www.matchwalls.com/;OAI-SearchBot;3;500;3129;11009;dacabb53-0f8b-4093-bfd9-ace36fb8dec6-1783249978;a165f00b3ebd2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;58tt;1361;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:01+02:00;https://www.matchwalls.com/;OAI-SearchBot;4;500;3103;11009;deff5efe-ab87-4e0f-bd10-7c9ade430ff5-1783249981;a165f01ece612183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;vs2h;1539;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:04+02:00;https://www.matchwalls.com/;PerplexityBot;1;500;3102;11009;7269f21e-e073-45e4-8b77-70956861b834-1783249984;a165f0323f842183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;sdsh;1229;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:07+02:00;https://www.matchwalls.com/;PerplexityBot;2;500;3097;11009;d0ece3c8-7bd1-42cb-b53f-0c7fac3d11fc-1783249987;a165f0459e862183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;kl5b;1202;Shopify generic error page
