id,tipo_recurso,idioma,recurso,problema,evidencia,url_o_archivo,fuente,estado,prioridad,impacto_seo,impacto_geo_llmo,impacto_comercial,solucion_recomendada,siguiente_lote_recomendado
MW-CONT-0001,home,es,Meta title,Title contaminado por metodos de pago en inventario historico,MatchWalls - Papeles pintados que transforman tus espaciosAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0002,other,es,H1,H1 ausente,h1_count=0; title=,https://www.matchwalls.com/agents.md,inventario-urls.csv,INCORRECTO,ALTO,Reduce claridad semantica e intencion principal.,Los sistemas IA reciben menos senal estructurada sobre el tema principal.,Menor claridad para usuarios y menor conversion.,"Anadir un unico H1 descriptivo, localizado y alineado con la busqueda principal.",MW-H1-METAS-I18N-001
MW-CONT-0003,other,es,Meta title,Title ausente,Sin title,https://www.matchwalls.com/agents.md,inventario-urls.csv,INCORRECTO,CRITICO,Pagina sin titulo SEO.,Se pierde senal principal para resumen/citacion.,CTR bajo o snippet pobre.,Definir title localizado unico.,MW-H1-METAS-I18N-001
MW-CONT-0004,other,es,Meta description,Meta description ausente,Sin meta description,https://www.matchwalls.com/agents.md,inventario-urls.csv,INCORRECTO,ALTO,Snippet menos controlado.,Menos contexto para resumen IA.,Menor CTR potencial.,Definir meta description unica y localizada.,MW-H1-METAS-I18N-001
MW-CONT-0005,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,Inspiración - Blog de arte y decoraciónAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/blogs/inspiracion,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0006,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,Cómo empapelar pared con papel pintadoAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0007,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,Tendencias en Papel Pintado 2025: Colores y DiseñoAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/blogs/inspiracion/colores-del-papel-pintado-tendencias-2025-y-consejos-para-disenadores-de-interiores,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0008,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,Diseños de Papeles Pintados encantadores para tus espaciosAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/blogs/inspiracion/ideas-para-papel-pintado-transforma-tu-espacio-con-disenos-encantadores,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0009,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,"Papel pintado para tu hogar. Tipos: flores, paisajes y másAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa",https://www.matchwalls.com/blogs/inspiracion/las-increibles-opciones-de-papel-pintado-para-decorar-tu-hogar-flores-paisajes-geometrias-y-mas,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
MW-CONT-0010,article,es,Meta title,Title contaminado por metodos de pago en inventario historico,Papel pintado vinílico: ideal para áreas de alto tráficoAmerican ExpressApple PayBancontactGoogle PayiDEAL WeroMaestroMastercardShop PayUnion PayVisa,https://www.matchwalls.com/blogs/inspiracion/papel-pintado-vinilico-de-matchwalls-la-mejor-eleccion-para-espacios-exigentes,inventario-urls.csv historico + render publico parcial 2026-06-16,DECLARADO PERO NO VERIFICADO,MEDIO,Debe revalidarse con un rastreo post-hotfix antes de corregir plantillas.,No se debe alimentar una decision GEO con evidencia historica refutada por render actual parcial.,Evita priorizar un falso positivo sobre problemas visibles actuales.,"Re-rastrear titles actuales; si se confirma, abrir lote tecnico especifico.",MW-RECRAWL-TITLES-001
