"lot","language","link_text","href","requested_url","final_url","http_status","content_type","status","notes"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Ver todos los dise̱os","/collections/murales","https://www.matchwalls.com/collections/murales","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Medir la pared","/pages/medidas-paredes","https://www.matchwalls.com/pages/medidas-paredes","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Crear mural personalizado","/products/custom-file-uploader","https://www.matchwalls.com/products/custom-file-uploader","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Cuenta profesional","/pages/formulario-profesionales","https://www.matchwalls.com/pages/formulario-profesionales","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Papel pintado en Espa̱a","/pages/papel-pintado-espana","https://www.matchwalls.com/pages/papel-pintado-espana","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Papel pintado en Francia","/pages/papel-pintado-francia","https://www.matchwalls.com/pages/papel-pintado-francia","","ERROR","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","View all designs","/en/collections/all-matchwallsmurals-murals","https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals","https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals","500","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Measure your wall","/en/pages/how-to-take-wall-measurements","https://www.matchwalls.com/en/pages/how-to-take-wall-measurements","https://www.matchwalls.com/en/pages/how-to-take-wall-measurements","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Create a custom mural","/en/products/custom-file-uploader","https://www.matchwalls.com/en/products/custom-file-uploader","https://www.matchwalls.com/en/products/custom-file-uploader","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Professional account","/en/pages/professional-form","https://www.matchwalls.com/en/pages/professional-form","https://www.matchwalls.com/en/pages/professional-form","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Wallpaper in Spain","/en/pages/spain-wallpaper","https://www.matchwalls.com/en/pages/spain-wallpaper","https://www.matchwalls.com/en/pages/spain-wallpaper","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Wallpaper in France","/en/pages/french-wallpaper","https://www.matchwalls.com/en/pages/french-wallpaper","https://www.matchwalls.com/en/pages/french-wallpaper","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Voir tous les designs","/fr/collections/tous-les-peintures-murales-matchwallsmurals","https://www.matchwalls.com/fr/collections/tous-les-peintures-murales-matchwallsmurals","https://www.matchwalls.com/fr/collections/tous-les-peintures-murales-matchwallsmurals","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Mesurer le mur","/fr/pages/comment-prendre-des-mesures-murales","https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales","https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Cr̩er un panoramique personnalis̩","/fr/products/telechargeur-de-fichiers-personnalise","https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise","https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Compte professionnel","/fr/pages/forme-professionnelle","https://www.matchwalls.com/fr/pages/forme-professionnelle","https://www.matchwalls.com/fr/pages/forme-professionnelle","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Papier peint en Espagne","/fr/pages/papier-peint-en-espagne","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Papier peint en France","/fr/pages/papier-peint-en-france","https://www.matchwalls.com/fr/pages/papier-peint-en-france","https://www.matchwalls.com/fr/pages/papier-peint-en-france","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
