"field","value","estado","nota"
"property","matchwalls.com/","CORREGIDO Y VERIFICADO","Propiedad autenticada en Bing Webmaster Tools."
"section","IndexNow","CORREGIDO Y VERIFICADO","Sección IndexNow visible."
"submitted_urls_total","13","CORREGIDO Y VERIFICADO","Panel IndexNow Insights."
"visible_row_1_url","https://www.matchwalls.com/","CORREGIDO Y VERIFICADO","Home visible en Submitted Urls list."
"visible_row_1_submitted","Today at 10:02","CORREGIDO Y VERIFICADO","Fecha/hora visible en Bing."
"visible_row_1_source","Self","CORREGIDO Y VERIFICADO","Coherente con envío de app."
"visible_row_2_url","https://www.matchwalls.com/products/custom-file-uploader","VERIFICADO Y CORRECTO","Envío antiguo visible."
"visible_row_2_submitted","15 Jun 2026 at 22:52","VERIFICADO Y CORRECTO","Fuente Shopify."
"visible_row_2_source","Shopify","VERIFICADO Y CORRECTO","Envío antiguo."
"visible_row_3_url","https://www.matchwalls.com/products","VERIFICADO Y CORRECTO","Envío antiguo visible."
"visible_row_3_submitted","15 Jun 2026 at 14:49","VERIFICADO Y CORRECTO","Fuente Shopify."
"visible_row_3_source","Shopify","VERIFICADO Y CORRECTO","Envío antiguo."
"indexing_confirmed","no","VERIFICADO Y CORRECTO","Submitted no equivale a indexado."
"manual_submission_used","no","VERIFICADO Y CORRECTO","No se usaron envíos manuales."
