country,page_id,locale,field,action,qa_status,proposed_value_or_rule,handle_rule,execution_tool,notes
Spain,gid://shopify/Page/687276622200,fr,title,replace,VERIFICADO Y CORRECTO,"Papier peint en Espagne pour intérieurs résidentiels et projets professionnels",conservar papier-peint-en-espagne,LangShop / Shopify Translate,"Ajustado de maisons a intérieurs résidentiels."
Spain,gid://shopify/Page/687276622200,fr,body_html,replace,VERIFICADO Y CORRECTO,"Ver copy-map final 012G2 sección España FR",conservar papier-peint-en-espagne,LangShop / Shopify Translate,"Terminología FR revisada; sin contenido antiguo."
Spain,gid://shopify/Page/687276622200,en,title,replace,VERIFICADO Y CORRECTO,"Wallpaper in Spain for homes and professional projects",conservar spain-wallpaper,LangShop / Shopify Translate,"Inglés internacional."
Spain,gid://shopify/Page/687276622200,en,body_html,replace,VERIFICADO Y CORRECTO,"Ver copy-map final 012G2 sección España EN",conservar spain-wallpaper,LangShop / Shopify Translate,"Shops ajustado a retail spaces; sin contenido antiguo."
Spain,gid://shopify/Page/687276622200,de,title,replace,VERIFICADO PERO MEJORABLE,"Tapeten in Spanien für Wohnräume und gewerbliche Projekte",conservar spanien-tapete,LangShop / Shopify Translate,"Apto para ejecución controlada; recomendable revisión nativa DE si se exige certificación máxima."
Spain,gid://shopify/Page/687276622200,de,body_html,replace,VERIFICADO PERO MEJORABLE,"Ver copy-map final 012G2 sección España DE",conservar spanien-tapete,LangShop / Shopify Translate,"Se reducen anglicismos y literalidad."
Spain,gid://shopify/Page/687276622200,nl,title,replace,VERIFICADO PERO MEJORABLE,"Behang in Spanje voor woningen en professionele projecten",conservar spanje-behang,LangShop / Shopify Translate,"Apto para ejecución controlada; recomendable revisión nativa NL si se exige certificación máxima."
Spain,gid://shopify/Page/687276622200,nl,body_html,replace,VERIFICADO PERO MEJORABLE,"Ver copy-map final 012G2 sección España NL",conservar spanje-behang,LangShop / Shopify Translate,"Se reduce repetición de muurschilderingen."
France,gid://shopify/Page/687276654968,fr,title,keep,CORREGIDO Y VERIFICADO,"Mantener valor actual 012F",conservar papier-peint-en-france,LangShop / Shopify Translate,"No tocar."
France,gid://shopify/Page/687276654968,fr,body_html,keep,CORREGIDO Y VERIFICADO,"Mantener valor actual 012F",conservar papier-peint-en-france,LangShop / Shopify Translate,"No tocar."
France,gid://shopify/Page/687276654968,en,title,replace,VERIFICADO Y CORRECTO,"Wallpaper in France for interiors and professional projects",conservar french-wallpaper,LangShop / Shopify Translate,"Inglés internacional."
France,gid://shopify/Page/687276654968,en,body_html,replace,VERIFICADO Y CORRECTO,"Ver copy-map final 012G2 sección Francia EN",conservar french-wallpaper,LangShop / Shopify Translate,"Shops ajustado a retail spaces; sin contenido antiguo."
France,gid://shopify/Page/687276654968,de,title,replace,VERIFICADO PERO MEJORABLE,"Tapeten in Frankreich für Innenräume und gewerbliche Projekte",conservar franzosische-tapete,LangShop / Shopify Translate,"Apto para ejecución controlada; recomendable revisión nativa DE si se exige certificación máxima."
France,gid://shopify/Page/687276654968,de,body_html,replace,VERIFICADO PERO MEJORABLE,"Ver copy-map final 012G2 sección Francia DE",conservar franzosische-tapete,LangShop / Shopify Translate,"Se reducen anglicismos y literalidad."
France,gid://shopify/Page/687276654968,nl,title,replace,VERIFICADO PERO MEJORABLE,"Behang in Frankrijk voor interieurs en professionele projecten",conservar frans-behang,LangShop / Shopify Translate,"Apto para ejecución controlada; recomendable revisión nativa NL si se exige certificación máxima."
France,gid://shopify/Page/687276654968,nl,body_html,replace,VERIFICADO PERO MEJORABLE,"Ver copy-map final 012G2 sección Francia NL",conservar frans-behang,LangShop / Shopify Translate,"Se reduce repetición de muurschilderingen."
