country,base_page_gid,base_handle,lang,localized_url_reference,proposed_seo_title,seo_title_length,proposed_meta_description,meta_description_length,current_public_status_from_012I,execution_status,notes
"Spain","gid://shopify/Page/687276622200","papel-pintado-espana","ES","https://www.matchwalls.com/pages/papel-pintado-espana","Papel pintado en España | MatchWalls","36","Papel pintado, murales y soluciones a medida para viviendas y proyectos profesionales en España. Pide muestras y personaliza tu mural.","134","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"Spain","gid://shopify/Page/687276622200","papel-pintado-espana","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","Papier peint en Espagne | MatchWalls","36","Papiers peints, panoramiques et solutions sur mesure en Espagne pour intérieurs résidentiels et projets professionnels. Commandez des échantillons.","147","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"Spain","gid://shopify/Page/687276622200","papel-pintado-espana","EN","https://www.matchwalls.com/en/pages/spain-wallpaper","Wallpaper in Spain | MatchWalls","31","Wallpaper, wall murals and made-to-measure solutions in Spain for homes, retail spaces and professional projects. Order samples online.","135","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"Spain","gid://shopify/Page/687276622200","papel-pintado-espana","DE","https://www.matchwalls.com/de/pages/spanien-tapete","Tapeten in Spanien | MatchWalls","31","Tapeten, Wandbilder und maßgefertigte Lösungen in Spanien für Wohnräume, Ladengeschäfte und gewerbliche Projekte. Muster bestellen.","131","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"Spain","gid://shopify/Page/687276622200","papel-pintado-espana","NL","https://www.matchwalls.com/nl/pages/spanje-behang","Behang in Spanje | MatchWalls","29","Behang, wanddecoratie en maatwerkoplossingen in Spanje voor woningen, winkels en professionele projecten. Bestel monsters online.","129","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"France","gid://shopify/Page/687276654968","papel-pintado-francia","ES","https://www.matchwalls.com/pages/papel-pintado-francia","Papel pintado en Francia | MatchWalls","37","Papel pintado, murales y soluciones a medida para viviendas, hoteles, tiendas y proyectos profesionales en Francia. Solicita muestras.","134","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"France","gid://shopify/Page/687276654968","papel-pintado-francia","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-france","Papier peint en France | MatchWalls","35","Papiers peints, panoramiques et solutions sur mesure en France pour particuliers, hôtels, boutiques et projets professionnels.","126","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"France","gid://shopify/Page/687276654968","papel-pintado-francia","EN","https://www.matchwalls.com/en/pages/french-wallpaper","Wallpaper in France | MatchWalls","32","Wallpaper, wall murals and made-to-measure solutions in France for homes, hotels, retail spaces and professional interiors. Order samples.","138","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"France","gid://shopify/Page/687276654968","papel-pintado-francia","DE","https://www.matchwalls.com/de/pages/franzosische-tapete","Tapeten in Frankreich | MatchWalls","34","Tapeten, Wandbilder und maßgefertigte Lösungen in Frankreich für Wohnräume, Hotels, Ladengeschäfte und gewerbliche Projekte.","124","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
"France","gid://shopify/Page/687276654968","papel-pintado-francia","NL","https://www.matchwalls.com/nl/pages/frans-behang","Behang in Frankrijk | MatchWalls","32","Behang, wanddecoratie en maatwerkoplossingen in Frankrijk voor woningen, hotels, winkels en professionele projecten.","116","VERIFICADO Y CORRECTO: HTML publico en idioma correcto; meta mejorable por snippet automatico.","INCOMPLETO","No ejecutar hasta confirmar campo SEO editable real en LangShop."
