index,recurso,idioma,mode,url,finalUrl,resolvedUrl,httpStatus,expectedH1,h1,status,failReasons,t46Assets,t45Assets,canonical,htmlLang,hreflangCount,hasPriorityHreflang,noindex,textLen,cssLeak
1,Murales,es,desktop,https://www.matchwalls.com/pages/papel-pintado-murales,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010p-post-1-1782509973673,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010p-post-1-1782509973673,200,Todo sobre nuestros murales,Todo sobre nuestros murales,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/papel-pintado-murales,es,8,true,false,38790,false
2,Murales,es,mobile,https://www.matchwalls.com/pages/papel-pintado-murales,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010p-post-2-1782509973680,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010p-post-2-1782509973680,200,Todo sobre nuestros murales,Todo sobre nuestros murales,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/papel-pintado-murales,es,8,true,false,38790,false
3,Murales,fr,desktop,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010p-post-3-1782509973680,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010p-post-3-1782509973680,200,Tout sur nos peintures murales,Tout sur nos peintures murales,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,fr,8,true,false,40818,false
4,Murales,fr,mobile,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010p-post-4-1782509973681,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010p-post-4-1782509973681,200,Tout sur nos peintures murales,Tout sur nos peintures murales,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,fr,8,true,false,40818,false
5,Murales,de,desktop,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010p-post-5-1782509973682,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010p-post-5-1782509973682,200,Alles über unsere Wandgemälde,Alles über unsere Wandgemälde,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,de,8,true,false,40587,false
6,Murales,de,mobile,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010p-post-6-1782509973684,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010p-post-6-1782509973684,200,Alles über unsere Wandgemälde,Alles über unsere Wandgemälde,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,de,8,true,false,40587,false
7,Murales,en,desktop,https://www.matchwalls.com/en/pages/all-about-our-murals,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010p-post-7-1782509973690,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010p-post-7-1782509973690,200,All about our wall murals,All about our wall murals,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/all-about-our-murals,en,8,true,false,35801,false
8,Murales,en,mobile,https://www.matchwalls.com/en/pages/all-about-our-murals,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010p-post-8-1782509973692,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010p-post-8-1782509973692,200,All about our wall murals,All about our wall murals,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/all-about-our-murals,en,8,true,false,35801,false
9,Murales,nl,desktop,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010p-post-9-1782509976124,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010p-post-9-1782509976124,200,Alles over onze muurschilderingen,Alles over onze muurschilderingen,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,nl,8,true,false,38631,false
10,Murales,nl,mobile,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010p-post-10-1782509976865,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010p-post-10-1782509976865,200,Alles over onze muurschilderingen,Alles over onze muurschilderingen,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,nl,8,true,false,38631,false
