index,recurso,idioma,mode,url,finalUrl,expectedH1,h1,status,failReasons,qaAssets,mainAssets,canonical,htmlLang,hreflangCount,noindex,textLen,overflowWindow,scrollWidth,innerWidth,cssLeak,consoleErrorCount,consoleErrors
1,Murales,es,desktop,https://www.matchwalls.com/pages/papel-pintado-murales,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010z3-1-1782501643726,Todo sobre nuestros murales,Todo sobre nuestros murales,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/papel-pintado-murales,es,8,false,15036,0,1440,1440,false,0,
2,Murales,es,mobile,https://www.matchwalls.com/pages/papel-pintado-murales,https://www.matchwalls.com/pages/papel-pintado-murales?mwqa=010z3-2-1782501648882,Todo sobre nuestros murales,Todo sobre nuestros murales,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/papel-pintado-murales,es,8,false,15112,0,390,390,false,0,
3,Murales,fr,desktop,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010z3-3-1782501652496,Tout sur nos peintures murales,Tout sur nos peintures murales,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,fr,8,false,15829,0,1440,1440,false,0,
4,Murales,fr,mobile,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales?mwqa=010z3-4-1782501657747,Tout sur nos peintures murales,Tout sur nos peintures murales,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales,fr,8,false,15952,0,390,390,false,0,
5,Murales,de,desktop,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010z3-5-1782501663931,Alles über unsere Wandgemälde,Alles über unsere Wandgemälde,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,de,8,false,16009,0,1440,1440,false,0,
6,Murales,de,mobile,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde?mwqa=010z3-6-1782501670257,Alles über unsere Wandgemälde,Alles über unsere Wandgemälde,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde,de,8,false,16168,0,390,390,false,0,
7,Murales,en,desktop,https://www.matchwalls.com/en/pages/all-about-our-murals,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010z3-7-1782501675196,All about our wall murals,All about our wall murals,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/all-about-our-murals,en,8,false,13580,0,1440,1440,false,0,
8,Murales,en,mobile,https://www.matchwalls.com/en/pages/all-about-our-murals,https://www.matchwalls.com/en/pages/all-about-our-murals?mwqa=010z3-8-1782501679629,All about our wall murals,All about our wall murals,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/all-about-our-murals,en,8,false,13697,0,390,390,false,0,
9,Murales,nl,desktop,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010z3-9-1782501683868,Alles over onze muurschilderingen,Alles over onze muurschilderingen,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,nl,8,false,14880,0,1440,1440,false,0,
10,Murales,nl,mobile,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen?mwqa=010z3-10-1782501688571,Alles over onze muurschilderingen,Alles over onze muurschilderingen,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen,nl,8,false,15022,0,390,390,false,0,
11,Crea tu mural,es,desktop,https://www.matchwalls.com/pages/crea-tu-mural,https://www.matchwalls.com/pages/crea-tu-mural?mwqa=010z3-11-1782501693202,Crea tu mural personalizado,Crea tu mural personalizado,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/crea-tu-mural,es,8,false,7932,0,1440,1440,false,0,
12,Crea tu mural,es,mobile,https://www.matchwalls.com/pages/crea-tu-mural,https://www.matchwalls.com/pages/crea-tu-mural?mwqa=010z3-12-1782501697350,Crea tu mural personalizado,Crea tu mural personalizado,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/crea-tu-mural,es,8,false,7958,0,390,390,false,0,
13,Crea tu mural,fr,desktop,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale?mwqa=010z3-13-1782501700737,Créez votre murale personnalisée,Créez votre murale personnalisée,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,fr,8,false,8615,0,1440,1440,false,0,
14,Crea tu mural,fr,mobile,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale?mwqa=010z3-14-1782501705361,Créez votre murale personnalisée,Créez votre murale personnalisée,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,fr,8,false,8657,0,390,390,false,0,
15,Crea tu mural,de,desktop,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010z3-15-1782501708898,Erstellen Sie Ihr personalisiertes Wandgemälde,Erstellen Sie Ihr personalisiertes Wandgemälde,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,de,8,false,8464,0,1440,1440,false,0,
16,Crea tu mural,de,mobile,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010z3-16-1782501713487,Erstellen Sie Ihr personalisiertes Wandgemälde,Erstellen Sie Ihr personalisiertes Wandgemälde,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,de,8,false,8530,0,390,390,false,0,
