recurso,idioma,url,h1,tema,desktop_ok,mobile_ok,canonical_self,hreflang_5,html_lang,noindex,contenido,desktop_overflow,mobile_overflow,mobile_scroll_width,mobile_client_width,estado
"Murales","es","https://www.matchwalls.com/pages/papel-pintado-murales","Todo sobre nuestros murales","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Murales","fr","https://www.matchwalls.com/fr/pages/tout-sur-nos-peintures-murales","Tout sur nos peintures murales","/t/45",true,true,true,true,true,true,true,false,true,408,375,"VERIFICADO PERO MEJORABLE"
"Murales","de","https://www.matchwalls.com/de/pages/alles-uber-unsere-wandgemalde","Alles über unsere Wandgemälde","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Murales","en","https://www.matchwalls.com/en/pages/all-about-our-murals","All about our wall murals","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Murales","nl","https://www.matchwalls.com/nl/pages/alles-over-onze-muurschilderingen","Alles over onze muurschilderingen","/t/45",true,true,true,true,true,true,true,false,true,381,375,"VERIFICADO PERO MEJORABLE"
"Crea tu mural","es","https://www.matchwalls.com/pages/crea-tu-mural","Crea tu mural personalizado","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Crea tu mural","fr","https://www.matchwalls.com/fr/pages/creez-votre-propre-murale","Créez votre murale personnalisée","/t/45",true,true,true,true,true,true,true,false,true,408,375,"VERIFICADO PERO MEJORABLE"
"Crea tu mural","de","https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild","Erstellen Sie Ihr personalisiertes Wandgemälde","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Crea tu mural","en","https://www.matchwalls.com/en/pages/create-your-own-mural","Create your personalized mural","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
"Crea tu mural","nl","https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering","Maak uw gepersonaliseerde muurschildering","/t/45",true,true,true,true,true,true,true,false,true,381,375,"VERIFICADO PERO MEJORABLE"
"Crea tu papel","es","https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo","Crea tu propio papel pintado rollo","/t/45",true,true,true,true,true,true,true,false,false,375,375,"CORREGIDO Y VERIFICADO"
