label,kind,viewport,url,h1,status,t46Assets,t45Assets,overflowWindow,scrollWidth,innerWidth,consoleErrorCount,swatchDisplay,externalWidth,externalHeight,internalWidth,internalHeight,trackingCount,trackingLast,error
home-es-mobile,home,390x900,https://www.matchwalls.com/?mwqa=010p-tech-1-1782510171616,Papeles pintados para paredes y murales,CORREGIDO Y VERIFICADO,12,0,0,375,390,0,,,,,,,,navigation_timeout_non_blocking_page_loaded
home-es-desktop,home,1440x1000,https://www.matchwalls.com/?mwqa=010p-tech-2-1782510187230,Papeles pintados para paredes y murales,CORREGIDO Y VERIFICADO,12,0,0,1425,1440,0,,,,,,,,
standard-product-es-mobile,product,390x900,https://www.matchwalls.com/products/lineas-noridcas-verde?mwqa=010p-tech-3-1782510199736,Líneas Nórdicas Verde,CORREGIDO Y VERIFICADO,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,
uploader-es-mobile,uploader,390x900,https://www.matchwalls.com/products/custom-file-uploader?mwqa=010p-tech-4-1782510213866,Tu Mural Personalizado,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-en-mobile,uploader,390x900,https://www.matchwalls.com/en/products/custom-file-uploader?mwqa=010p-tech-5-1782510219761,Your custom mural,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-fr-mobile-390,uploader,390x900,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010p-tech-6-1782510225794,Votre fresque personnalisée,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-fr-mobile-375,uploader,375x900,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010p-tech-7-1782510232698,Votre fresque personnalisée,VERIFICADO PERO MEJORABLE,15,0,0,360,375,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-de-mobile,uploader,390x900,https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader?mwqa=010p-tech-8-1782510238996,Ihr individuelles Wandgemälde,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-nl-mobile-390,uploader,390x900,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010p-tech-9-1782510245346,Uw aangepaste muurschildering,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-nl-mobile-375,uploader,375x900,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010p-tech-10-1782510251370,Uw aangepaste muurschildering,VERIFICADO PERO MEJORABLE,15,0,0,360,375,0,none|none|none|none,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-fr-desktop,uploader,1440x1000,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010p-tech-11-1782510257951,Votre fresque personnalisée,VERIFICADO PERO MEJORABLE,15,0,0,1425,1440,0,block|block|block|block,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
uploader-nl-desktop,uploader,1440x1000,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010p-tech-12-1782510264517,Uw aangepaste muurschildering,VERIFICADO PERO MEJORABLE,15,0,0,1425,1440,0,block|block|block|block,423,223,423,223,,,robots_noindex_nofollow_detectado_en_URL_limpia; trasladar_a_indexabilidad
tracking-010a2d-es-mobile,tracking,390x900,https://www.matchwalls.com/products/custom-file-uploader?mwqa=010a2d,Tu Mural Personalizado,VERIFICADO PERO MEJORABLE,15,0,0,375,390,0,none|none|none|none,423,223,423,223,4,"{""event"":""input_mural_outside"",""dimension"":""height"",""value"":""223"",""gtm.uniqueEventId"":19}",robots_noindex_nofollow_detectado_en_URL_limpia; tracking_marker_VERIFICADO_count_4_last_height_223; trasladar_noindex_a_indexabilidad
