label,kind,viewport,url,h1,status,qaAssets,mainAssets,overflowWindow,consoleErrorCount,swatchDisplay,externalWidth,externalHeight,internalWidth,internalHeight,error
home-es-mobile,home,390x900,https://www.matchwalls.com/?mwqa=010z3-extra2-1-1782502597436,Papeles pintados para paredes y murales,CORREGIDO Y VERIFICADO,8,0,0,0,,,,,,
home-es-desktop,home,1440x1000,https://www.matchwalls.com/?mwqa=010z3-extra2-2-1782502609355,Papeles pintados para paredes y murales,CORREGIDO Y VERIFICADO,8,0,0,0,,,,,,
standard-product-es-mobile,product,390x900,https://www.matchwalls.com/products/lineas-noridcas-verde?mwqa=010z3-extra2-3-1782502628041,Líneas Nórdicas Verde,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-es-mobile,uploader,390x900,https://www.matchwalls.com/products/custom-file-uploader?mwqa=010z3-extra2-4-1782502637492,Tu Mural Personalizado,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-en-mobile,uploader,390x900,https://www.matchwalls.com/en/products/custom-file-uploader?mwqa=010z3-extra2-5-1782502642484,Your custom mural,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-fr-mobile-390,uploader,390x900,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010z3-extra2-6-1782502648065,Votre fresque personnalisée,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-fr-mobile-375,uploader,375x900,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010z3-extra2-7-1782502653741,Votre fresque personnalisée,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-de-mobile,uploader,390x900,https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader?mwqa=010z3-extra2-8-1782502658328,Ihr individuelles Wandgemälde,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-nl-mobile-390,uploader,390x900,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010z3-extra2-9-1782502663208,Uw aangepaste muurschildering,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-nl-mobile-375,uploader,375x900,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010z3-extra2-10-1782502667958,Uw aangepaste muurschildering,CORREGIDO Y VERIFICADO,11,0,0,0,none|none|none|none,423,223,423,223,
uploader-fr-desktop,uploader,1440x1000,https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise?mwqa=010z3-extra2-11-1782502672720,Votre fresque personnalisée,CORREGIDO Y VERIFICADO,11,0,0,0,block|block|block|block,423,223,423,223,
uploader-nl-desktop,uploader,1440x1000,https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster?mwqa=010z3-extra2-12-1782502681143,Uw aangepaste muurschildering,CORREGIDO Y VERIFICADO,11,0,0,0,block|block|block|block,423,223,423,223,
tracking-010a2d-es-mobile,tracking,390x900,https://www.matchwalls.com/products/custom-file-uploader?preview_theme_id=178399019384&mwqa=010a2d,,CORREGIDO Y VERIFICADO,,,,0,,423,223,423,223,
