label,url,httpStatus,finalUrl,contentType,canonical,robots,htmlLang,hreflangCount,h1Count,h1,title,textLen,estado,issues
home,https://www.matchwalls.com/,200,https://www.matchwalls.com/,text/html; charset=utf-8,https://www.matchwalls.com/,,es,8,1,Papeles pintados para paredes y murales,MatchWalls - Papeles pintados que transforman tus espacios,31780,VERIFICADO Y CORRECTO,
agents,https://www.matchwalls.com/agents.md,200,https://www.matchwalls.com/agents.md,text/markdown; charset=utf-8,,,,0,0,,,4351,VERIFICADO Y CORRECTO,
uploader_es_clean,https://www.matchwalls.com/products/custom-file-uploader,200,https://www.matchwalls.com/products/custom-file-uploader,text/html; charset=utf-8,https://www.matchwalls.com/products/custom-file-uploader,"noindex,nofollow",es,8,1,Tu Mural Personalizado,Papel pintado y mural personalizado | MatchWalls,41482,VERIFICADO PERO MEJORABLE,noindex
uploader_en_clean,https://www.matchwalls.com/en/products/custom-file-uploader,200,https://www.matchwalls.com/en/products/custom-file-uploader,text/html; charset=utf-8,https://www.matchwalls.com/en/products/custom-file-uploader,"noindex,nofollow",en,8,1,Your custom mural,Custom wallpaper and murals | MatchWalls,38589,VERIFICADO PERO MEJORABLE,noindex
facade_en,https://www.matchwalls.com/en/pages/facade-variants/test,200,https://www.matchwalls.com/en/,text/html; charset=utf-8,https://www.matchwalls.com/en,,en,8,1,Wallpapers and photomurals for all spaces,MatchWalls - Wallpaper and murals to transform your spaces,28861,INCORRECTO,redirect_or_final_url_diff|test_url_indexable
black_friday_es,https://www.matchwalls.com/collections/papel-pintado-black-friday,200,https://www.matchwalls.com/collections/papel-pintado-black-friday,text/html; charset=utf-8,https://www.matchwalls.com/collections/papel-pintado-black-friday,,es,8,1,BLACK FRIDAY 2024,Papel Pintado Black Friday - Oferta Papel Pintado,13373,INCORRECTO,black_friday_indexable
black_friday_en,https://www.matchwalls.com/en/collections/wallpapers-black-friday,200,https://www.matchwalls.com/en/collections/wallpapers-black-friday,text/html; charset=utf-8,https://www.matchwalls.com/en/collections/wallpapers-black-friday,,en,8,1,Black Friday 2024,Wallpaper Black Friday 2025 - Wallpaper Sale,12267,INCORRECTO,black_friday_indexable
matchalls_fr,https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,200,https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,text/html; charset=utf-8,https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,,fr,8,1,Nouveaux Papiers Peints,Papier Peint Nouveautés - Designs Modernes - MatchWalls,15706,INCORRECTO,brand_typo_url
sample_es,https://www.matchwalls.com/products/muestra-abstract-curves-negro,200,https://www.matchwalls.com/products/muestra-abstract-curves-negro,text/html; charset=utf-8,https://www.matchwalls.com/products/muestra-abstract-curves-negro,,es,8,1,Muestra Abstract Curves Negro,Muestra Abstract Curves Negro,11023,VERIFICADO PERO MEJORABLE,sample_indexable
sample_en_wrong_lang,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,200,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,text/html; charset=utf-8,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,,en,8,1,Wildflower Whisper Lila,Wildflower Whisper Lila,9148,VERIFICADO PERO MEJORABLE,sample_indexable
norid_es,https://www.matchwalls.com/products/lineas-noridcas-negro,200,https://www.matchwalls.com/products/lineas-noridcas-negro,text/html; charset=utf-8,https://www.matchwalls.com/products/lineas-noridcas-negro,,es,8,1,Líneas Nórdicas Negro,Papel Pintado Líneas Nórdicas Negro,59223,INCORRECTO,typo_url_norid
enchathed_en,https://www.matchwalls.com/en/products/enchathed-garden-symphony-multicolor,200,https://www.matchwalls.com/en/products/enchathed-garden-symphony-multicolor,text/html; charset=utf-8,https://www.matchwalls.com/en/products/enchathed-garden-symphony-multicolor,,en,8,1,Enchathed Garden Symphony Multicolor,Enchathed Garden Symphony Multicolor Wallpaper,56415,INCORRECTO,typo_url_enchathed
geo_madrid,https://www.matchwalls.com/collections/comprar-papel-pintado-madrid,200,https://www.matchwalls.com/collections/comprar-papel-pintado-madrid,text/html; charset=utf-8,https://www.matchwalls.com/collections/comprar-papel-pintado-madrid,,es,8,1,Papel pintado Madrid,Comprar papel pintado Madrid - MatchWalls,17310,VERIFICADO Y CORRECTO,
