sample_reason,url,language,type,handle,policy_group,matched_terms,language_mismatch_flags,other_flags,status,final_url,redirected,robots_meta,x_robots_tag,canonical,canonical_self,h1,title,fetch_error
first_product_es,https://www.matchwalls.com/products/muestra-abstract-curves-negro,es,products,muestra-abstract-curves-negro,sample_product_candidate,es_muestra,,,200,https://www.matchwalls.com/products/muestra-abstract-curves-negro,no,,,https://www.matchwalls.com/products/muestra-abstract-curves-negro,yes,Muestra Abstract Curves Negro,Muestra Abstract Curves Negro,
first_product_en,https://www.matchwalls.com/en/products/beige-classic-ladies-sample,en,products,beige-classic-ladies-sample,sample_product_candidate,en_sample,,,200,https://www.matchwalls.com/en/products/beige-classic-ladies-sample,no,,,https://www.matchwalls.com/en/products/beige-classic-ladies-sample,yes,Beige classic ladies sample,Beige classic ladies sample,
first_product_fr,https://www.matchwalls.com/fr/products/cityscape-confetti-green-echantillon,fr,products,cityscape-confetti-green-echantillon,sample_product_candidate,fr_echantillon,,,200,https://www.matchwalls.com/fr/products/cityscape-confetti-green-echantillon,no,,,https://www.matchwalls.com/fr/products/cityscape-confetti-green-echantillon,yes,Cityscape Confetti Green échantillon,Cityscape Confetti Green échantillon,
first_product_de,https://www.matchwalls.com/de/products/beige-classic-ladies-probe,de,products,beige-classic-ladies-probe,sample_product_candidate,de_probe,,,200,https://www.matchwalls.com/de/products/beige-classic-ladies-probe,no,,,https://www.matchwalls.com/de/products/beige-classic-ladies-probe,yes,Beige Classic Ladies Probe,Beige Classic Ladies Probe,
first_product_nl,https://www.matchwalls.com/nl/products/beige-classic-ladies-sample-1,nl,products,beige-classic-ladies-sample-1,sample_product_candidate,en_sample,nl_non_nl_sample_term_detected,numeric_suffix|suffix_1,200,https://www.matchwalls.com/nl/products/beige-classic-ladies-sample-1,no,,,https://www.matchwalls.com/nl/products/beige-classic-ladies-sample-1,yes,Beige Classic Ladies Sample,Beige Classic Ladies Sample,
first_product_it,https://www.matchwalls.com/it/products/armony-green-stripe-sample,it,products,armony-green-stripe-sample,sample_product_candidate,en_sample,out_of_priority_language,,200,https://www.matchwalls.com/it/products/armony-green-stripe-sample,no,,,https://www.matchwalls.com/it/products/armony-green-stripe-sample,yes,Armony Green Stripe Sample,Armony Green Stripe Sample,
first_product_pt,https://www.matchwalls.com/pt/products/amostra-amarela-de-listras-divertidas,pt,products,amostra-amarela-de-listras-divertidas,sample_product_candidate,pt_amostra,out_of_priority_language,,200,https://www.matchwalls.com/pt/products/amostra-amarela-de-listras-divertidas,no,,,https://www.matchwalls.com/pt/products/amostra-amarela-de-listras-divertidas,yes,Amostra amarela de listras divertidas,Amostra amarela de listras divertidas,
all_collections,https://www.matchwalls.com/de/collections/papierpapier-kleine-muster-matchwalswallpapers,de,collections,papierpapier-kleine-muster-matchwalswallpapers,sample_collection_or_listing,de_muster,de_muster_non_product,,200,https://www.matchwalls.com/de/collections/papierpapier-kleine-muster-matchwalswallpapers,no,,,https://www.matchwalls.com/de/collections/papierpapier-kleine-muster-matchwalswallpapers,yes,Tapete mit Muster,Tapeten mit Muster - Moderne Designs - MatchWalls,
all_pages,https://www.matchwalls.com/de/pages/installation-und-wandproben,de,pages,installation-und-wandproben,sample_information_page,de_probe,,,200,https://www.matchwalls.com/de/pages/installation-und-wandproben,no,,,https://www.matchwalls.com/de/pages/installation-und-wandproben,yes,Installation und Wandproben,Installation und Wandproben,
all_pages,https://www.matchwalls.com/en/pages/installation-and-mural-samples,en,pages,installation-and-mural-samples,sample_information_page,en_sample,,,200,https://www.matchwalls.com/en/pages/installation-and-mural-samples,no,,,https://www.matchwalls.com/en/pages/installation-and-mural-samples,yes,Installation and mural samples,Installation and mural samples,
