lote,fecha_hora_madrid,recurso,resource_id,locale,key,new_value,shopify_updatedAt,userErrors,estado_mutacion
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/646110085496,en,title,Cuenca Wallpaper,2026-07-04T22:31:20Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/443626914019,fr,title,Papier Peint Álava,2026-07-04T22:31:37Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/646109659512,fr,title,Papier Peint Almería,2026-07-04T22:31:50Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/646109725048,fr,title,Papier Peint Ávila,2026-07-04T22:32:04Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/646110314872,fr,title,Papier Peint Jaén,2026-07-04T22:32:17Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439174562019,de,title,3D-Tapete,2026-07-04T22:32:33Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439174562019,nl,title,3D-behang,2026-07-04T22:32:33Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439057613027,de,title,Goldene Tapete,2026-07-04T22:32:47Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:33,collection,gid://shopify/Collection/439174627555,de,title,Japanische Tapete,2026-07-04T22:33:00Z,0,CORREGIDO Y VERIFICADO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:33,collection,gid://shopify/Collection/439174365411,nl,title,Geometrisch Behang,2026-07-04T22:33:14Z,0,CORREGIDO Y VERIFICADO
