id,deletedUrlRedirectId,userErrors
gid://shopify/UrlRedirect/417542766819,gid://shopify/UrlRedirect/417542766819,[]
gid://shopify/UrlRedirect/417542799587,gid://shopify/UrlRedirect/417542799587,[]
gid://shopify/UrlRedirect/417542832355,gid://shopify/UrlRedirect/417542832355,[]
gid://shopify/UrlRedirect/417542865123,gid://shopify/UrlRedirect/417542865123,[]
gid://shopify/UrlRedirect/417542897891,gid://shopify/UrlRedirect/417542897891,[]
gid://shopify/UrlRedirect/417542930659,gid://shopify/UrlRedirect/417542930659,[]
gid://shopify/UrlRedirect/417542963427,gid://shopify/UrlRedirect/417542963427,[]
gid://shopify/UrlRedirect/417542996195,gid://shopify/UrlRedirect/417542996195,[]
gid://shopify/UrlRedirect/417543028963,gid://shopify/UrlRedirect/417543028963,[]
gid://shopify/UrlRedirect/417543061731,gid://shopify/UrlRedirect/417543061731,[]
gid://shopify/UrlRedirect/417543094499,gid://shopify/UrlRedirect/417543094499,[]
gid://shopify/UrlRedirect/417543127267,gid://shopify/UrlRedirect/417543127267,[]
gid://shopify/UrlRedirect/417543160035,gid://shopify/UrlRedirect/417543160035,[]
gid://shopify/UrlRedirect/417543192803,gid://shopify/UrlRedirect/417543192803,[]
