order,id,path,new_target,userErrors,status
1,gid://shopify/UrlRedirect/417580974307,/fr/collections/floral-painted-papers-matchwallswallspapers,/fr/collections/peintures-murales-florales-matchwallsmurals,[],CORREGIDO Y VERIFICADO
2,gid://shopify/UrlRedirect/417581007075,/fr/collections/painted-papers-graphic-matchwallswallpapers-1,/fr/collections/peintures-murales-graphiques-matchwallsmurals,[],CORREGIDO Y VERIFICADO
3,gid://shopify/UrlRedirect/417581039843,/fr/collections/geometric-paints-matchwalswallpapers,/fr/collections/peintures-murales-geometriques-matchwallsmurs,[],CORREGIDO Y VERIFICADO
4,gid://shopify/UrlRedirect/417581072611,/fr/collections/nature-painted-papers-matchwallswallpapers,/fr/collections/peintures-murales-de-la-nature-matchwallsmurals,[],CORREGIDO Y VERIFICADO
5,gid://shopify/UrlRedirect/417581105379,/fr/collections/wall-paper-matchwallswallpapers,/fr/collections/rayons-muraux-matchwallsmurals,[],CORREGIDO Y VERIFICADO
6,gid://shopify/UrlRedirect/417581138147,/fr/collections/japanese-painted-papers-matchwallswallpapers,/fr/collections/peintures-murales-japonaises-matchwallsmurals,[],CORREGIDO Y VERIFICADO
7,gid://shopify/UrlRedirect/417581170915,/fr/collections/painted-papeles-marble-matchwallswallpa,/fr/collections/murale-murale-matchwallsmurals,[],CORREGIDO Y VERIFICADO
8,gid://shopify/UrlRedirect/417581236451,/fr/collections/painted-papers-matchwallswallpapers,/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals,[],CORREGIDO Y VERIFICADO
9,gid://shopify/UrlRedirect/417581269219,/fr/collections/painted-dining-papers-matchwallswallpapers,/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals,[],CORREGIDO Y VERIFICADO
10,gid://shopify/UrlRedirect/417581301987,/fr/collections/painted-papers-kitchen-matchwallswallpapers,/fr/collections/mindicules-de-cuisine-matchwallsmurals,[],CORREGIDO Y VERIFICADO
11,gid://shopify/UrlRedirect/417581334755,/fr/collections/bedroom-painted-papers-matchwallswallpa,/fr/collections/peintures-murales-de-chambre-matchwallsmurals,[],CORREGIDO Y VERIFICADO
12,gid://shopify/UrlRedirect/417581400291,/fr/collections/painted-adolescents-matchwallswallpapers,/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals,[],CORREGIDO Y VERIFICADO
