section,rows,impressions,clicks,notes
keywords export total,88,131,3,query-level partial export
pages export total,49,136,3,page-level partial export
country export total,11,749,3,matches overview
device export total,2,749,3,matches overview
BING-GEO-OPP-001 ES colecciones producto/color/patr?n/espacio,47 kw / 16 pages,136,3,VERIFICADO PERO MEJORABLE / ALTA
BING-GEO-OPP-002 Geo/local existente ES/EN/FR,8 kw / 8 pages,33,0,VERIFICADO PERO MEJORABLE / MEDIA
BING-GEO-OPP-003 Medici?n/instalaci?n y contenido citable,11 kw / 2 pages,19,0,VERIFICADO PERO MEJORABLE / MEDIA
BING-GEO-OPP-004 Mural personalizado / proyecto,5 kw / 2 pages,11,0,VERIFICADO PERO MEJORABLE / MEDIA
BING-GEO-OPP-005 Productos individuales visibles,0 kw / 14 pages,27,0,VERIFICADO PERO MEJORABLE / MEDIA
BING-GEO-OPP-006 Marca typo machwalls,1 kw / 0 pages,2,1,VERIFICADO PERO MEJORABLE / BAJA
BING-GEO-OPP-007 Mobile d?bil en Bing,0 kw / 0 pages,0,0,VERIFICADO PERO MEJORABLE / MEDIA
BING-GEO-OPP-008 PT/IT/BR se?ales fuera de prioridad,11 kw / 7 pages,34,2,STANDBY / STANDBY
BING-GEO-OPP-009 Legacy matchwallsmurals/matchwallsmurais,0 kw / 2 pages,2,0,STANDBY / STANDBY
BING-GEO-OPP-010 USA/UK/DE mercados estrat?gicos incipientes,0 kw / 0 pages,0,0,VERIFICADO PERO MEJORABLE / BAJA
