group_type,group,rows,impressions,clicks,ctr_calculated,weighted_avg_position
locale_signal,ES,32,98,2,2.04%,5.93
locale_signal,PT,4,15,1,6.67%,7.27
locale_signal,EN,7,14,0,0.00%,7.14
locale_signal,FR,3,5,0,0.00%,5.80
locale_signal,IT,2,3,0,0.00%,4.33
locale_signal,DE,1,1,0,0.00%,10.00
page_type,collection,28,83,2,2.41%,6.48
page_type,product,15,28,0,0.00%,6.00
page_type,page,5,23,1,4.35%,5.61
page_type,blog,1,2,0,0.00%,3.50
topic_cluster,Colecci?n producto/color/patr?n/espacio,17,62,2,3.23%,6.19
topic_cluster,Producto,15,28,0,0.00%,6.00
topic_cluster,Geo/local,8,17,0,0.00%,7.06
topic_cluster,Mural personalizado / informacional,4,17,1,5.88%,5.89
topic_cluster,Medici?n/instalaci?n,2,8,0,0.00%,4.50
topic_cluster,Legacy matchwallsmurals / STANDBY,2,2,0,0.00%,8.00
topic_cluster,Otro,1,2,0,0.00%,9.00
priority,BAJA,36,62,1,1.61%,6.21
priority,MEDIA,7,39,0,0.00%,6.90
priority,ALTA,4,33,2,6.06%,5.21
priority,STANDBY,2,2,0,0.00%,8.00
status,VERIFICADO PERO MEJORABLE,42,117,2,1.71%,6.10
status,STANDBY,7,19,1,5.26%,6.74
overall,page export available,49,136,3,2.21%,6.19
