lote,fecha_hora_madrid,recurso,resource_id,source_handle,source_title,locale,current_title,proposed_title,title_digest,estado_precheck
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/646110085496,comprar-papel-pintado-cuenca,Papel pintado Cuenca,en,Basin Wallpaper,Cuenca Wallpaper,22b8da542ec7d1e4b7c80598579d4e538de5161c5f8d311607930dcbb1ec7035,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/443626914019,comprar-papel-pintado-alava,Papel pintado Álava,fr,Papier Peint Alava,Papier Peint Álava,813237d955338cc0089baf2bb305eab8b1e2c357cc9ddc14dc68e6aac2e048c1,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/646109659512,comprar-papel-pintado-almeria,Papel pintado Almería,fr,Papier Peint Almeria,Papier Peint Almería,ca35875e3accf461728acac48cd70fe7cffb3d4efd09072d38f8d3bdf2d18741,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:31,collection,gid://shopify/Collection/646109725048,comprar-papel-pintado-avila,Papel pintado Ávila,fr,Papier Peint Avila,Papier Peint Ávila,56da396bfa3c28f890df08b640d80de82e38996000088111cce75a5ec8ad1bc6,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/646110314872,comprar-papel-pintado-jaen,Papel pintado Jaén,fr,Papier Peint Jaen,Papier Peint Jaén,112f969561e9d1e76f6d08ed3534dc3ff3b559243cacf7ef621632756b282255,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439174562019,murales-estilo-estructura,Papel Pintado 3D,de,Tapete 3D,3D-Tapete,f6a81ea55fc161a21bd24b6440487ad5b6d9b6740b5b47e36b23474adb91ec63,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439174562019,murales-estilo-estructura,Papel Pintado 3D,nl,Behang 3D,3D-behang,f6a81ea55fc161a21bd24b6440487ad5b6d9b6740b5b47e36b23474adb91ec63,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:32,collection,gid://shopify/Collection/439057613027,papeles-pintados-color-dorado,Papel Pintado Dorado,de,Tapete Gold,Goldene Tapete,049f31357bab0bb8b0c9ccaf082de5bfbbea07fa21be410b4a01f190a1487494,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:33,collection,gid://shopify/Collection/439174627555,murales-estilo-japones,Papel Pintado Japonés,de,Tapete Japanisch,Japanische Tapete,2f88209801e2a9c071e6535bca90e993019b1db56efdaeb580c5d7752a32b8c8,VERIFICADO Y CORRECTO
MW-COLLECTIONS-I18N-CARD-TITLES-SAFE-TEXT-UPDATE-013E16,2026-07-05 00:33,collection,gid://shopify/Collection/439174365411,murales-estilo-geometrico,Papel Pintado Estilos Geométricos,nl,Geometrische Behangstijlen,Geometrisch Behang,bb0ec92a3d077633825db1d91153c7d0671862913a153469793a5bee1310603f,VERIFICADO Y CORRECTO
