queue_rank,url,locale_signal,page_type,topic_cluster,impressions,clicks,avg_position,priority,status,qa_checks_required,write_allowed_now,recommended_lote
1,https://www.matchwalls.com/collections/murales-estilo-geometrico,ES,collection,Colecci?n producto/color/patr?n/espacio,10,1,6.9,ALTA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
2,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,ES,collection,Colecci?n producto/color/patr?n/espacio,2,1,1.0,ALTA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
3,https://www.matchwalls.com/collections/murales-para-el-pasillo,ES,collection,Colecci?n producto/color/patr?n/espacio,11,0,4.09,ALTA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
4,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,ES,collection,Colecci?n producto/color/patr?n/espacio,10,0,5.6,ALTA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
5,https://www.matchwalls.com/collections/papeles-pintados-color-negro,ES,collection,Colecci?n producto/color/patr?n/espacio,7,0,8.29,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
6,https://www.matchwalls.com/products/gingham-charm-rosa,ES,product,Producto,7,0,6.71,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
7,https://www.matchwalls.com/pages/medidas-paredes,ES,page,Medici?n/instalaci?n,6,0,4.83,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
8,https://www.matchwalls.com/products/gingham-charm-verde,ES,product,Producto,5,0,6.8,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
9,https://www.matchwalls.com/collections/papeles-pintados-color-verde,ES,collection,Colecci?n producto/color/patr?n/espacio,5,0,7.4,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
10,https://www.matchwalls.com/en/collections/salamanca-wallpaper,EN,collection,Geo/local,5,0,6.0,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
11,https://www.matchwalls.com/en/collections/tarragona-wallpaper,EN,collection,Geo/local,4,0,8.5,MEDIA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
12,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,ES,collection,Colecci?n producto/color/patr?n/espacio,3,0,7.33,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
13,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,ES,collection,Geo/local,3,0,9.33,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
14,https://www.matchwalls.com/products/marejada-azul,ES,product,Producto,3,0,1.67,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
15,https://www.matchwalls.com/collections/papeles-pintados-color-lila,ES,collection,Colecci?n producto/color/patr?n/espacio,3,0,4.33,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
16,https://www.matchwalls.com/collections/murales-estilo-paisajes,ES,collection,Colecci?n producto/color/patr?n/espacio,3,0,6.67,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
17,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,FR,page,Mural personalizado / informacional,3,0,5.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
18,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,ES,blog,Medici?n/instalaci?n,2,0,3.5,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
19,https://www.matchwalls.com/products/polka-dot-delight-rosa,ES,product,Producto,2,0,7.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
