"id","path","current_target","proposed_target","current_chain","final_status","state"
"gid://shopify/UrlRedirect/417580974307","/fr/collections/floral-painted-papers-matchwallswallspapers","/fr/collections/floral-murals-matchwallsmurals","/fr/collections/peintures-murales-florales-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581007075","/fr/collections/painted-papers-graphic-matchwallswallpapers-1","/fr/collections/graphical-murals-matchwallsmurals","/fr/collections/peintures-murales-graphiques-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581039843","/fr/collections/geometric-paints-matchwalswallpapers","/fr/collections/geometric-murals-matchwallsmurs","/fr/collections/peintures-murales-geometriques-matchwallsmurs","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581072611","/fr/collections/nature-painted-papers-matchwallswallpapers","/fr/collections/nature-murals-matchwallsmurals","/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581105379","/fr/collections/wall-paper-matchwallswallpapers","/fr/collections/rays-mural-matchwallsmurals-1","/fr/collections/rayons-muraux-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581138147","/fr/collections/japanese-painted-papers-matchwallswallpapers","/fr/collections/japanese-murals-matchwallsmurals","/fr/collections/peintures-murales-japonaises-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581170915","/fr/collections/painted-papeles-marble-matchwallswallpa","/fr/collections/mural-mural-matchwallsmurals","/fr/collections/murale-murale-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581236451","/fr/collections/painted-papers-matchwallswallpapers","/fr/collections/murals-for-the-matchwallsmurals-room","/fr/collections/peintures-murales-pour-la-salle-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581269219","/fr/collections/painted-dining-papers-matchwallswallpapers","/fr/collections/mural-for-the-matchwallsmurals-dining-room","/fr/collections/murale-pour-la-salle-a-manger-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581301987","/fr/collections/painted-papers-kitchen-matchwallswallpapers","/fr/collections/kitchen-murals-matchwallsmurals","/fr/collections/mindicules-de-cuisine-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581334755","/fr/collections/bedroom-painted-papers-matchwallswallpa","/fr/collections/bedroom-murals-matchwallsmurals","/fr/collections/peintures-murales-de-chambre-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
"gid://shopify/UrlRedirect/417581400291","/fr/collections/painted-adolescents-matchwallswallpapers","/fr/collections/mural-for-teenage-rooms-matchwallsmurals","/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","301 -> 301 -> 200","200","VERIFICADO PERO MEJORABLE"
