lote,queue_rank,priority,locale_signal,page_type,topic_cluster,url,browser_status,browser_final_url,browser_redirect_count,title_clean,title_clean_len,title_extraction_note,meta_description_len,meta_description,h1_count,h1_first,canonical,canonical_self_or_original,hreflang_count,html_lang,jsonld_types,page_level_state,page_level_issue,crawler_or_waf_note,write_allowed_now
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,1,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-estilo-geometrico,200,https://www.matchwalls.com/collections/murales-estilo-geometrico,0,Papel Pintado Geométrico - Murales y diseños modernos,53,svg_title_tokens_removed_for_analysis,158,"Descubre papeles pintados de estilo geométrico en MatchWalls. Diseños modernos y sofisticados con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",1,Papel Pintado Estilos Geométricos,https://www.matchwalls.com/collections/murales-estilo-geometrico,yes,8,es,BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,2,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,200,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,0,Papeles pintados más vendidos | MatchWalls,42,svg_title_tokens_removed_for_analysis,150,"Descubre los papeles pintados y murales más vendidos de MatchWalls. Compara estilos, colores y diseños para encontrar la opción ideal para tu espacio.",1,Papeles pintados y murales más vendidos,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,yes,8,es,BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,3,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-el-pasillo,200,https://www.matchwalls.com/collections/murales-para-el-pasillo,0,Papel Pintado y Murales para Pasillos - Ideas decoración,56,svg_title_tokens_removed_for_analysis,154,"Decora tus pasillos con papel pintado. Diseños para pasillos estrechos, largos o entradas con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",1,Papel Pintado para Pasillo,https://www.matchwalls.com/collections/murales-para-el-pasillo,yes,8,es,BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,4,ALTA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,200,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,0,Papel Pintado Blanco y Negro - MatchWalls,41,svg_title_tokens_removed_for_analysis,153,"Explora papeles pintados en blanco y negro de MatchWalls. Diseños modernos y atemporales con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",1,Papel Pintado Blanco y Negro,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,yes,8,es,BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,5,MEDIA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-negro,200,https://www.matchwalls.com/collections/papeles-pintados-color-negro,0,Papel Pintado Negro - MatchWalls,32,svg_title_tokens_removed_for_analysis,152,"Descubre papeles pintados en tonos negros de MatchWalls. Diseños sofisticados y audaces con calidades Non Woven, Vinílico y Peel and Stick autoadhesivo.",1,Papel Pintado Negro,https://www.matchwalls.com/collections/papeles-pintados-color-negro,yes,8,es,BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,6,MEDIA,ES,product,Producto,https://www.matchwalls.com/products/gingham-charm-rosa,200,https://www.matchwalls.com/products/gingham-charm-rosa,0,Papel Pintado Gingham Charm Rosa,32,,138,"Descubre nuestro papel pintado Gingham Charm en tono rosa. Una amplia variedad de diseños en calidades non woven, autoadhesivo y vinílico.",1,Gingham Charm Rosa,https://www.matchwalls.com/products/gingham-charm-rosa,yes,8,es,Product | ImageObject | QuantitativeValue | Brand | Offer | BreadcrumbList | ListItem,VERIFICADO Y CORRECTO,,,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,7,MEDIA,ES,page,Medici?n/instalaci?n,https://www.matchwalls.com/pages/medidas-paredes,429,https://www.matchwalls.com/pages/medidas-paredes,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,8,MEDIA,ES,product,Producto,https://www.matchwalls.com/products/gingham-charm-verde,429,https://www.matchwalls.com/products/gingham-charm-verde,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,9,MEDIA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-verde,429,https://www.matchwalls.com/collections/papeles-pintados-color-verde,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,10,MEDIA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/salamanca-wallpaper,429,https://www.matchwalls.com/en/collections/salamanca-wallpaper,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,11,MEDIA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/tarragona-wallpaper,429,https://www.matchwalls.com/en/collections/tarragona-wallpaper,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
