label,http,canonical_ok,jsonld_errors,types_ok,status
Spain ES,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
Spain EN,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
Spain FR,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
Spain DE,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
Spain NL,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
France ES,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
France EN,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
France FR,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
France DE,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
France NL,200,TRUE,0,TRUE,VERIFICADO Y CORRECTO
