country,lang,url,http,canonical_ok,noindex_absent,sitemap_present,linked_from_locale_home,contextual_incoming_from_tested_sources,landing_out_internal_count,paired_country_link_same_lang,hreflang_cluster_count,technical_discovery_status,internal_linking_status,notes
Spain,ES,https://www.matchwalls.com/pages/papel-pintado-espana,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to France landing"
Spain,EN,https://www.matchwalls.com/en/pages/spain-wallpaper,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to France landing"
Spain,FR,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to France landing"
Spain,DE,https://www.matchwalls.com/de/pages/spanien-tapete,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to France landing"
Spain,NL,https://www.matchwalls.com/nl/pages/spanje-behang,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to France landing"
France,ES,https://www.matchwalls.com/pages/papel-pintado-francia,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to Spain landing"
France,EN,https://www.matchwalls.com/en/pages/french-wallpaper,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to Spain landing"
France,FR,https://www.matchwalls.com/fr/pages/papier-peint-en-france,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to Spain landing"
France,DE,https://www.matchwalls.com/de/pages/franzosische-tapete,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to Spain landing"
France,NL,https://www.matchwalls.com/nl/pages/frans-behang,200,TRUE,TRUE,TRUE,FALSE,FALSE,74,FALSE,7,VERIFICADO Y CORRECTO,INCOMPLETO,"In sitemap and technically accessible; not linked from locale home HTML; no contextual incoming link from tested seeds; no same-language crosslink to Spain landing"
