"lot","language","link_text","href","requested_url","final_url","title","h1","visible_404","noindex","status","notes"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Ver todos los diseÃ±os","/collections/murales","https://www.matchwalls.com/collections/murales","https://www.matchwalls.com/collections/murales","Todos los Papeles Pintados y Murales - DiseÃ±os modernos","Todos los Papeles Pintados","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Medir la pared","/pages/medidas-paredes","https://www.matchwalls.com/pages/medidas-paredes","https://www.matchwalls.com/pages/medidas-paredes","CÃ³mo tomar las medidas de paredes - MatchWalls","CÃ³mo tomar medidas de paredes","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Crear mural personalizado","/products/custom-file-uploader","https://www.matchwalls.com/products/custom-file-uploader","https://www.matchwalls.com/products/custom-file-uploader","Papel pintado y mural personalizado | MatchWalls","Tu Mural Personalizado","False","True","VERIFICADO PERO MEJORABLE","Destination works but has noindex; acceptable for functional link, SEO value limited"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Cuenta profesional","/pages/formulario-profesionales","https://www.matchwalls.com/pages/formulario-profesionales","https://www.matchwalls.com/pages/formulario-profesionales","Cuenta para profesionales - Formulario","Formulario profesionales","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Papel pintado en EspaÃ±a","/pages/papel-pintado-espana","https://www.matchwalls.com/pages/papel-pintado-espana","https://www.matchwalls.com/pages/papel-pintado-espana","Papel pintado en EspaÃ±a para hogares y proyectos profesionales","Papel pintado en EspaÃ±a para hogares y proyectos profesionales","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","Papel pintado en Francia","/pages/papel-pintado-francia","https://www.matchwalls.com/pages/papel-pintado-francia","https://www.matchwalls.com/pages/papel-pintado-francia","Papel pintado en Francia para interiores y proyectos profesionales","Papel pintado en Francia para interiores y proyectos profesionales","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","View all designs","/en/collections/all-matchwallsmurals-murals","https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals","https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals","All Wallpapers and Murals for Wall - MatchWalls","All Wallpaper","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Measure your wall","/en/pages/how-to-take-wall-measurements","https://www.matchwalls.com/en/pages/how-to-take-wall-measurements","https://www.matchwalls.com/en/pages/how-to-take-wall-measurements","How to measure walls for wallpaper â€” MatchWalls","How to measure walls for wallpaper â€” Step by step guide","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Create a custom mural","/en/products/custom-file-uploader","https://www.matchwalls.com/en/products/custom-file-uploader","https://www.matchwalls.com/en/products/custom-file-uploader","Custom wallpaper and murals | MatchWalls","Your custom mural","False","True","VERIFICADO PERO MEJORABLE","Destination works but has noindex; acceptable for functional link, SEO value limited"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Professional account","/en/pages/professional-form","https://www.matchwalls.com/en/pages/professional-form","https://www.matchwalls.com/en/pages/professional-form","Professional Account â€“ Form","Professional form","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
