lang,country,url,status,h1,title,robots,canonical,old_shipping_content_visible,new_geo_content_visible,hreflang_count,estado
ES,Spain,https://www.matchwalls.com/pages/papel-pintado-espana?mwqa=012g,200,"Papel pintado en España para hogares y proyectos profesionales","Papel pintado en España para hogares y proyectos profesionales",,https://www.matchwalls.com/pages/papel-pintado-espana,false,true,8,CORREGIDO Y VERIFICADO
FR,Spain,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne?mwqa=012g,200,"Papier Peint Espagne","Papier Peint Espagne",,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,true,false,8,INCORRECTO
EN,Spain,https://www.matchwalls.com/en/pages/spain-wallpaper?mwqa=012g,200,"Spain wallpaper","Spain wallpaper",,https://www.matchwalls.com/en/pages/spain-wallpaper,true,false,8,INCORRECTO
DE,Spain,https://www.matchwalls.com/de/pages/spanien-tapete?mwqa=012g,200,"Spanien Tapete","Spanien Tapete",,https://www.matchwalls.com/de/pages/spanien-tapete,true,false,8,INCORRECTO
NL,Spain,https://www.matchwalls.com/nl/pages/spanje-behang?mwqa=012g,200,"Spanje behang","Spanje behang",,https://www.matchwalls.com/nl/pages/spanje-behang,true,false,8,INCORRECTO
ES,France,https://www.matchwalls.com/pages/papel-pintado-francia?mwqa=012g,200,"Papel pintado en Francia para interiores y proyectos profesionales","Papel pintado en Francia para interiores y proyectos profesionales",,https://www.matchwalls.com/pages/papel-pintado-francia,false,true,8,CORREGIDO Y VERIFICADO
FR,France,https://www.matchwalls.com/fr/pages/papier-peint-en-france?mwqa=012g,200,"Papier peint en France pour intérieurs résidentiels et projets professionnels","Papier peint en France pour intérieurs résidentiels et projets profess",,https://www.matchwalls.com/fr/pages/papier-peint-en-france,false,true,8,CORREGIDO Y VERIFICADO
EN,France,https://www.matchwalls.com/en/pages/french-wallpaper?mwqa=012g,200,"French wallpaper","French wallpaper",,https://www.matchwalls.com/en/pages/french-wallpaper,true,false,8,INCORRECTO
DE,France,https://www.matchwalls.com/de/pages/franzosische-tapete?mwqa=012g,200,"Französische Tapete","Französische Tapete",,https://www.matchwalls.com/de/pages/franzosische-tapete,true,false,8,INCORRECTO
NL,France,https://www.matchwalls.com/nl/pages/frans-behang?mwqa=012g,200,"Frans behang","Frans behang",,https://www.matchwalls.com/nl/pages/frans-behang,true,false,8,INCORRECTO
