cliente,label,url,accept_language,status,contains_exact_012J3,meta_length,meta_prefix,og_equals_meta,twitter_equals_meta,cf_cache,estado
python,ES_default,https://www.matchwalls.com/pages/papel-pintado-espana,,200,false,320,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora di",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,ES_esES,https://www.matchwalls.com/pages/papel-pintado-espana,"es-ES,es;q=0.9",200,false,320,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora di",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,DE_default,https://www.matchwalls.com/de/pages/spanien-tapete,,200,false,320,"Tapeten, Wandbilder und maßgefertigte Lösungen in Spanien MatchWalls gestaltet Tapeten, dekorative Wandbilder und maßgefertigte Wandlösungen für Wohnräume, Hotels, Restaurants, Büros, Ladengeschäfte und gewerbliche Räume in Spanien. Sie können zeitgenössische,",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,DE_deDE,https://www.matchwalls.com/de/pages/spanien-tapete,"de-DE,de;q=0.9",200,false,320,"Tapeten, Wandbilder und maßgefertigte Lösungen in Spanien MatchWalls gestaltet Tapeten, dekorative Wandbilder und maßgefertigte Wandlösungen für Wohnräume, Hotels, Restaurants, Büros, Ladengeschäfte und gewerbliche Räume in Spanien. Sie können zeitgenössische,",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,NL_default,https://www.matchwalls.com/nl/pages/spanje-behang,,200,false,320,"Behang, wanddecoratie en maatwerkoplossingen in Spanje MatchWalls ontwerpt behang, decoratieve wandoplossingen en maatwerk voor woningen, hotels, restaurants, kantoren, winkels en professionele ruimtes in Spanje. U kunt eigentijdse, botanische, artistieke, geo",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,NL_nlNL,https://www.matchwalls.com/nl/pages/spanje-behang,"nl-NL,nl;q=0.9",200,false,320,"Behang, wanddecoratie en maatwerkoplossingen in Spanje MatchWalls ontwerpt behang, decoratieve wandoplossingen en maatwerk voor woningen, hotels, restaurants, kantoren, winkels en professionele ruimtes in Spanje. U kunt eigentijdse, botanische, artistieke, geo",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,FR_frFR,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,"fr-FR,fr;q=0.9",200,false,320,"Papiers peints, panoramiques et solutions sur mesure en Espagne Chez MatchWalls, nous concevons des papiers peints, des panoramiques décoratifs et des solutions murales sur mesure pour les intérieurs résidentiels, hôtels, restaurants, bureaux, boutiques et esp",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
python,EN_enGB,https://www.matchwalls.com/en/pages/spain-wallpaper,"en-GB,en;q=0.9",200,false,320,"Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore c",true,true,DYNAMIC,VERIFICADO PERO MEJORABLE
curl,ES_compressed,https://www.matchwalls.com/pages/papel-pintado-espana,,200,false,320,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espa",NO_ACCESIBLE,NO_ACCESIBLE,NO_ACCESIBLE,VERIFICADO PERO MEJORABLE
curl,ES_esES,https://www.matchwalls.com/pages/papel-pintado-espana,"es-ES,es;q=0.9",200,true,134,"Papel pintado, murales y soluciones a medida para viviendas y proyectos profesionales en España. Pide muestras y personaliza tu mural.",NO_ACCESIBLE,NO_ACCESIBLE,NO_ACCESIBLE,INCORRECTO
curl,ES_no_cache,https://www.matchwalls.com/pages/papel-pintado-espana,"Cache-Control: no-cache",200,true,134,"Papel pintado, murales y soluciones a medida para viviendas y proyectos profesionales en España. Pide muestras y personaliza tu mural.",NO_ACCESIBLE,NO_ACCESIBLE,NO_ACCESIBLE,INCORRECTO
curl,DE_default,https://www.matchwalls.com/de/pages/spanien-tapete,,200,false,320,"Tapeten, Wandbilder und maßgefertigte Lösungen in Spanien MatchWalls gestaltet Tapeten, dekorative Wandbilder und maßgefertigte Wandlösungen für Wohnräume, Hotels, Restaurants, Büros, Ladengeschäfte und gewerbliche Räume",NO_ACCESIBLE,NO_ACCESIBLE,NO_ACCESIBLE,VERIFICADO PERO MEJORABLE
curl,NL_default,https://www.matchwalls.com/nl/pages/spanje-behang,,200,false,320,"Behang, wanddecoratie en maatwerkoplossingen in Spanje MatchWalls ontwerpt behang, decoratieve wandoplossingen en maatwerk voor woningen, hotels, restaurants, kantoren, winkels en professionele ruimtes in Spanje. U kunt",NO_ACCESIBLE,NO_ACCESIBLE,NO_ACCESIBLE,VERIFICADO PERO MEJORABLE
