"page","lang","url","status","noindex","canonical","hreflang_count","heading_present","target_href_present","anchor_present","target_status","result"
"Spain","ES","https://www.matchwalls.com/pages/papel-pintado-espana","200","False","https://www.matchwalls.com/pages/papel-pintado-espana","8","False","False","False","200","FAIL"
"Spain","EN","https://www.matchwalls.com/en/pages/spain-wallpaper","200","False","https://www.matchwalls.com/en/pages/spain-wallpaper","8","False","False","False","200","FAIL"
"Spain","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","200","False","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","8","False","False","False","200","FAIL"
"Spain","DE","https://www.matchwalls.com/de/pages/spanien-tapete","200","False","https://www.matchwalls.com/de/pages/spanien-tapete","8","False","False","False","200","FAIL"
"Spain","NL","https://www.matchwalls.com/nl/pages/spanje-behang","200","False","https://www.matchwalls.com/nl/pages/spanje-behang","8","False","False","False","200","FAIL"
"France","ES","https://www.matchwalls.com/pages/papel-pintado-francia","200","False","https://www.matchwalls.com/pages/papel-pintado-francia","8","False","False","False","200","FAIL"
"France","EN","https://www.matchwalls.com/en/pages/french-wallpaper","200","False","https://www.matchwalls.com/en/pages/french-wallpaper","8","False","False","False","200","FAIL"
"France","FR","https://www.matchwalls.com/fr/pages/papier-peint-en-france","200","False","https://www.matchwalls.com/fr/pages/papier-peint-en-france","8","True","True","True","200","PASS"
"France","DE","https://www.matchwalls.com/de/pages/franzosische-tapete","200","False","https://www.matchwalls.com/de/pages/franzosische-tapete","8","False","False","False","200","FAIL"
"France","NL","https://www.matchwalls.com/nl/pages/frans-behang","200","False","https://www.matchwalls.com/nl/pages/frans-behang","8","False","False","False","200","FAIL"
