lot,round,checked_at_utc,page,locale,ua_label,status,pass,url,final_url,expected_heading,has_country_heading,expected_href,has_cross_country_href,canonical,robots,noindex,content_language_header,cf_cache_status,cf_ray,x_request_id,x_dc,server_timing_theme,server_timing_pageType,server_timing_servedBy,server_timing_requestID,server_timing_edge,server_timing_country,server_timing_cmp,html_len,html_sha256_16,evidence_snippet,error
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:39.670123+00:00,spain,es,browser_chrome,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,Papel pintado por pa?s,False,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,,False,es-ES,DYNAMIC,a15efebcfa37807e-MAD,ad3a2a76-80f6-48bb-a2e5-8008722e1bc9-1783177179,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,whwj,ad3a2a76-80f6-48bb-a2e5-8008722e1bc9-1783177179,MAD,ES,3.ampS_ESCT_t_f_QFpzWcnWRmOzVKVvoGQaUg,547195,f1a90e4cad0e4458,"cas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:40.267472+00:00,spain,es,googlebot,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,Papel pintado por pa?s,False,/pages/papel-pintado-francia,True,https://www.matchwalls.com/pages/papel-pintado-espana,,False,es-ES,DYNAMIC,a15efec09e36f774-MAD,a5ac7995-0dae-4382-ab66-ffdc5ef737df-1783177180,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,7q66,a5ac7995-0dae-4382-ab66-ffdc5ef737df-1783177180,MAD,ES,3.ampS_ESCT_t_f_t0JfMIvGSrGTOI35CDHizw,547456,78374fdb70ec7aa3,"Papel pintado por país</h2><p>Estás consultando las soluciones para España. Si tu proyecto se desarrolla en Francia o quieres comparar opciones para otro mercado, consulta la guía de <a href=""/pages/papel-pintado-francia"">papel pintado en Francia</a>.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:40.879863+00:00,spain,es,bingbot,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,Papel pintado por pa?s,False,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,,False,es-ES,DYNAMIC,a15efec468a9033e-MAD,696516eb-bc4f-4155-9e57-eef8b59696e2-1783177180,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,kxcj,696516eb-bc4f-4155-9e57-eef8b59696e2-1783177180,MAD,ES,3.ampS_ESCT_t_f_xwgwqj*YTtC*cXMoC6fsyw,547195,0030df5a7b624e57,"cas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:41.724225+00:00,spain,es,generic_ai_search,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,Papel pintado por pa?s,False,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,,False,es-ES,DYNAMIC,a15efec9e8824890-MAD,75c21fea-8744-4182-8fd1-49e2af906f39-1783177181,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,m4zm,75c21fea-8744-4182-8fd1-49e2af906f39-1783177181,MAD,ES,3.ampS_ESCT_t_f_VmI9mSdkQrSE5wOxOrTPJw,547195,0030df5a7b624e57,"cas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:42.478857+00:00,spain,en,browser_chrome,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,Wallpaper by country,False,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,,False,en-ES,DYNAMIC,a15efecedbeadd98-MAD,7ede2604-7506-4df8-9c00-b6d781976a4a-1783177182,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,9nw8,7ede2604-7506-4df8-9c00-b6d781976a4a-1783177182,MAD,ES,3.ampS_ESCT_t_f_sAy6RfqqRnekGukTEsO2wQ,548686,10a44cb077a526c7,"h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:43.484278+00:00,spain,en,googlebot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,Wallpaper by country,False,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,,False,en-ES,DYNAMIC,a15efed4ced52d40-MAD,58d18ba7-d2fd-4bc5-a152-14050fcc7f3f-1783177183,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,sc8p,58d18ba7-d2fd-4bc5-a152-14050fcc7f3f-1783177183,MAD,ES,3.ampS_ESCT_t_f_8Cs-ipueRcaUiEBYpXgdQA,548686,9f9632754c902216,"h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:44.219154+00:00,spain,en,bingbot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,Wallpaper by country,False,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,,False,en-ES,DYNAMIC,a15efed95bff0345-MAD,7d69bb1b-fadf-461c-99df-3cff9f1042a7-1783177184,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,78f9,7d69bb1b-fadf-461c-99df-3cff9f1042a7-1783177184,MAD,ES,3.ampS_ESCT_t_f_j4RkdArqTMmxf8yRfJzwVw,548686,e087a02507e67677,"h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:44.894054+00:00,spain,en,generic_ai_search,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,Wallpaper by country,False,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,,False,en-ES,DYNAMIC,a15efedddef04305-MAD,871339a1-29f8-44b7-8496-2e126fbbe980-1783177184,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,hw7h,871339a1-29f8-44b7-8496-2e126fbbe980-1783177184,MAD,ES,3.ampS_ESCT_t_f_8SScoLTWR0iwi8VzJ32gMw,548686,10a44cb077a526c7,"h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:45.734336+00:00,spain,fr,browser_chrome,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,Papier peint par pays,False,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,,False,fr-ES,DYNAMIC,a15efee2d864ec9d-MAD,e99afe80-a583-4115-9ec5-94e6ff9bac33-1783177185,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,bpkg,e99afe80-a583-4115-9ec5-94e6ff9bac33-1783177185,MAD,ES,3.ampS_ESCT_t_f_MWtyTAODQIe-kTfn9TAA4w,552130,135ec35aa19374d1,"<!doctype html> <html class=""no-js"" lang=""fr"" dir=""ltr""> <head> <script type=""text/javascript""> (function (c, l, a, r, i, t, y) { c[a] = c[a] || function () { (c[a].q = c[a].q || []).push(arguments); }; t = l.createElement(r); t.async = 1; t.src = 'https://www.clarity.ms/tag/' + i; y = l.getElements",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-RENDER-SHARD-DIAG-012O5,1,2026-07-04T14:59:46.401173+00:00,spain,fr,googlebot,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,Papier peint par pays,False,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,,False,fr-ES,DYNAMIC,a15efee73f978804-MAD,01356e59-70f1-4f3a-852d-d1bb978a863d-1783177186,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,v5pc,01356e59-70f1-4f3a-852d-d1bb978a863d-1783177186,MAD,ES,3.ampS_ESCT_t_f_3*RTXMdTQCWEPdt7oA1jBg,552130,c617630c52203e88,"<!doctype html> <html class=""no-js"" lang=""fr"" dir=""ltr""> <head> <script type=""text/javascript""> (function (c, l, a, r, i, t, y) { c[a] = c[a] || function () { (c[a].q = c[a].q || []).push(arguments); }; t = l.createElement(r); t.async = 1; t.src = 'https://www.clarity.ms/tag/' + i; y = l.getElements",
