group,label,url,status_result,http_status,canonical,robots,jsonld_scripts,jsonld_errors,types,faq_count,inLanguage,final_url,notes
positive,ES Spain,https://www.matchwalls.com/pages/papel-pintado-espana,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/pages/papel-pintado-espana,,2,0,BreadcrumbList|FAQPage|WebPage,3,es,https://www.matchwalls.com/pages/papel-pintado-espana,Schema geo activo
positive,EN Spain,https://www.matchwalls.com/en/pages/spain-wallpaper,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/en/pages/spain-wallpaper,,2,0,BreadcrumbList|FAQPage|WebPage,3,en,https://www.matchwalls.com/en/pages/spain-wallpaper,Schema geo activo
positive,FR Spain,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,,2,0,BreadcrumbList|FAQPage|WebPage,3,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,Schema geo activo
positive,DE Spain,https://www.matchwalls.com/de/pages/spanien-tapete,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/de/pages/spanien-tapete,,2,0,BreadcrumbList|FAQPage|WebPage,3,de,https://www.matchwalls.com/de/pages/spanien-tapete,Schema geo activo
positive,NL Spain,https://www.matchwalls.com/nl/pages/spanje-behang,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/nl/pages/spanje-behang,,2,0,BreadcrumbList|FAQPage|WebPage,3,nl,https://www.matchwalls.com/nl/pages/spanje-behang,Schema geo activo
positive,ES France,https://www.matchwalls.com/pages/papel-pintado-francia,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/pages/papel-pintado-francia,,2,0,BreadcrumbList|FAQPage|WebPage,3,es,https://www.matchwalls.com/pages/papel-pintado-francia,Schema geo activo
positive,EN France,https://www.matchwalls.com/en/pages/french-wallpaper,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/en/pages/french-wallpaper,,2,0,BreadcrumbList|FAQPage|WebPage,3,en,https://www.matchwalls.com/en/pages/french-wallpaper,Schema geo activo
positive,FR France,https://www.matchwalls.com/fr/pages/papier-peint-en-france,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/fr/pages/papier-peint-en-france,,2,0,BreadcrumbList|FAQPage|WebPage,3,fr,https://www.matchwalls.com/fr/pages/papier-peint-en-france,Schema geo activo
positive,DE France,https://www.matchwalls.com/de/pages/franzosische-tapete,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/de/pages/franzosische-tapete,,2,0,BreadcrumbList|FAQPage|WebPage,3,de,https://www.matchwalls.com/de/pages/franzosische-tapete,Schema geo activo
positive,NL France,https://www.matchwalls.com/nl/pages/frans-behang,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/nl/pages/frans-behang,,2,0,BreadcrumbList|FAQPage|WebPage,3,nl,https://www.matchwalls.com/nl/pages/frans-behang,Schema geo activo
negative,IT Spain,https://www.matchwalls.com/it/pages/sfondo-della-spagna,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/it/pages/sfondo-della-spagna,,1,0,BreadcrumbList,0,,https://www.matchwalls.com/it/pages/sfondo-della-spagna,Sin WebPage/FAQPage geo nuevo
negative,IT France,https://www.matchwalls.com/it/pages/sfondo-francese,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/it/pages/sfondo-francese,,1,0,BreadcrumbList,0,,https://www.matchwalls.com/it/pages/sfondo-francese,Sin WebPage/FAQPage geo nuevo
negative,PT Spain,https://www.matchwalls.com/pt/pages/papel-de-parede-da-espanha,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/pt/pages/papel-de-parede-da-espanha,,1,0,BreadcrumbList,0,,https://www.matchwalls.com/pt/pages/papel-de-parede-da-espanha,Sin WebPage/FAQPage geo nuevo
negative,PT France,https://www.matchwalls.com/pt/pages/papel-de-parede-frances,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/pt/pages/papel-de-parede-frances,,1,0,BreadcrumbList,0,,https://www.matchwalls.com/pt/pages/papel-de-parede-frances,Sin WebPage/FAQPage geo nuevo
regression,Home,https://www.matchwalls.com/,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/,,2,0,BreadcrumbList|Organization|WebSite,0,,https://www.matchwalls.com/,Schema base home preservado
regression,Product custom uploader,https://www.matchwalls.com/products/custom-file-uploader,VERIFICADO Y CORRECTO,200,https://www.matchwalls.com/products/custom-file-uploader,"noindex,nofollow",2,0,Brand|BreadcrumbList|ImageObject|ListItem|Offer|Product|QuantitativeValue,0,,https://www.matchwalls.com/products/custom-file-uploader,"Product/Offer preservado; noindex existente fuera de alcance 012L6B"
