lote,fecha,input_path,final_path,status,canonical_path,canonical_relation,robots,noindex,html_lang,hreflang_priority,hreflang_total,in_sitemap,h1_count,estado,riesgo,incidencia
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/,/,200,/,self_exact,,NO,es,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en,/en,200,/en,self_exact,,NO,en,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr,/fr,200,/fr,self_exact,,NO,fr,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/de,/de,200,/de,self_exact,,NO,de,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl,/nl,200,/nl,self_exact,,NO,nl,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en/,/en/,200,/en,self_without_trailing_slash,,NO,en,es|en|fr|de|nl|x-default,8,NO,1,VERIFICADO PERO MEJORABLE,Bajo,canonical_normalizes_trailing_slash
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr/,/fr/,200,/fr,self_without_trailing_slash,,NO,fr,es|en|fr|de|nl|x-default,8,NO,1,VERIFICADO PERO MEJORABLE,Bajo,canonical_normalizes_trailing_slash
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/de/,/de/,200,/de,self_without_trailing_slash,,NO,de,es|en|fr|de|nl|x-default,8,NO,1,VERIFICADO PERO MEJORABLE,Bajo,canonical_normalizes_trailing_slash
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl/,/nl/,200,/nl,self_without_trailing_slash,,NO,nl,es|en|fr|de|nl|x-default,8,NO,1,VERIFICADO PERO MEJORABLE,Bajo,canonical_normalizes_trailing_slash
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/pages/muestras,/pages/muestras,200,/pages/muestras,self_exact,,NO,es,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en/pages/request-your-sample,/en/pages/request-your-sample,200,/en/pages/request-your-sample,self_exact,,NO,en,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr/pages/demandez-votre-echantillon,/fr/pages/demandez-votre-echantillon,200,/fr/pages/demandez-votre-echantillon,self_exact,,NO,fr,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,recheck_3_of_3_200
