id,path,target,chain,final_url,en_sitemap_actual,estado
gid://shopify/UrlRedirect/412625207523,/pages/facade-variants/test,/,301 -> 200,https://www.matchwalls.com/,no,INCORRECTO
gid://shopify/UrlRedirect/1518269596024,/collections/lienzos,/,301 -> 200,https://www.matchwalls.com/,no,REQUIERE DECISION HUMANA
gid://shopify/UrlRedirect/1518269628792,/collections/cuadros-rollos,/,301 -> 200,https://www.matchwalls.com/,no,REQUIERE DECISION HUMANA
gid://shopify/UrlRedirect/1518269661560,/collections/nuevos-cuadros-matchwalls,/,301 -> 200,https://www.matchwalls.com/,no,REQUIERE DECISION HUMANA
gid://shopify/UrlRedirect/1518269694328,/collections/nuevos-lienzos-matchwalls,/,301 -> 200,https://www.matchwalls.com/,no,REQUIERE DECISION HUMANA
gid://shopify/UrlRedirect/1532808069496,/no/products/uberort-hvit-murstein-hvit-prove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808102264,/no/products/ibenholt-tre-spor-svart,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808135032,/no/pages/lag-din-egen-tapetrulle,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808167800,/no/products/kastanje-lund-brun,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808200568,/no/collections/tegning-av-bilder-matchwallartprints,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808233336,/no/products/gronne-fliser-ceraminc-1,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808266104,/no/products/elegant-hvit-murstein-hvit,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808298872,/no/products/rosa-lineaer-kontrast,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808331640,/no/products/soloppgang-geometrisk-rosa,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808364408,/no/products/inspirerende-striper-rosa,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808397176,/no/collections/maleri-landskap-matchwallsmurals,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808429944,/no/pages/lag-ditt-eget-kunstutskrift,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808462712,/no/products/gronn-pels,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808495480,/no/products/host-eik-planker-brun,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808528248,/no/collections/tabeller-og-lerreter-kommersielle-kontor-matchwallsartprints,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808561016,/no/pages/lag-ditt-eget-veggmaleri,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808593784,/no/products/lineaer-dynamikk-rosa-prove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808626552,/no/products/barcelona-92-nostalgi-club,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808659320,/no/products/urban-sketch-brown-6,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808692088,/no/products/geometrisk-illusjon-blanco,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808724856,/no/pages/installasjonsveiledning,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808757624,/no/products/rosa-eleganse-abstrakt-prove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808790392,/no/products/flerfargede-veggmalerier-opptar-aktorveggmaleriprove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808823160,/no/products/bomullskarton-striper-rosa-prove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808855928,/no/collections/malte-papirer-kjokken-matchwallswallpapers?page=2,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808888696,/no/collections/bla-lerreter-matchwallsartprints,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808921464,/no/products/pop-paisley-blue-5,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808954232,/no/products/stigende-kraner-azul-1,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532808987000,/no/products/svart-og-hvitt-beskyttet-veiprove,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532809019768,/no/products/sakura-verde,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
gid://shopify/UrlRedirect/1532809052536,/no/pages/matchwalls-gavekort,/,301 -> 200,https://www.matchwalls.com/,no,STANDBY
