ts_utc,round,profile,status,final_url,canonical,html_lang,robots,meta_description,og_description,twitter_description,contains_stale,expected_body_fallback,sha256,cf_cache_status,x_cache,age,error
2026-07-04T01:36:57.625481+00:00,1,chrome_es,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:36:58.833852+00:00,1,chrome_en,200,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,en,,"Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child",False,False,52a0e5f91ff3ee1bbb60bed001a5bfb371912190aa7f649a7d5124c66b6bd1d0,DYNAMIC,,,
2026-07-04T01:36:59.241849+00:00,1,googlebot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:36:59.561896+00:00,1,bingbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:36:59.909261+00:00,1,oai_searchbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:37:00.247531+00:00,1,perplexitybot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,ef06b21292b2b4e39a5e85e48123ee9d050a7476fc311416b3ced36b80ac3845,DYNAMIC,,,
2026-07-04T01:37:01.815883+00:00,2,chrome_es,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:37:31.909204+00:00,2,chrome_en,ERROR,,,,,,,,ERROR,ERROR,,,,,URLError(TimeoutError('_ssl.c:989: The handshake operation timed out'))
2026-07-04T01:37:32.274555+00:00,2,googlebot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:37:32.630826+00:00,2,bingbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:37:32.976856+00:00,2,oai_searchbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,c27dc72d4da80a6959e8c59fa551fe6becc7c0e92f73a41d65dc8fd434849304,DYNAMIC,,,
2026-07-04T01:37:33.354870+00:00,2,perplexitybot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,ef06b21292b2b4e39a5e85e48123ee9d050a7476fc311416b3ced36b80ac3845,DYNAMIC,,,
2026-07-04T01:37:34.896434+00:00,3,chrome_es,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:37:36.298818+00:00,3,chrome_en,200,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,en,,"Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child","Wallpaper, murals and made-to-measure solutions in Spain At MatchWalls, we design wallpaper, decorative wall murals and made-to-measure wall solutions for homes, hotels, restaurants, offices, retail spaces and professional interiors in Spain. You can explore contemporary, botanical, artistic, geometric, floral or child",False,False,4d495df6c5c9cb8c79b2233d6b5b0aa3337f1a586532837097da615a76d23e28,DYNAMIC,,,
2026-07-04T01:37:36.842064+00:00,3,googlebot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,8c427ef7dd3d7dba507eb256ce23ab11481a9c2aa1498bdd2c1a00557429fdf8,DYNAMIC,,,
2026-07-04T01:37:37.281715+00:00,3,bingbot_sim,200,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,es,,"Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl","Papel pintado, murales y soluciones a medida en España En MatchWalls diseñamos papel pintado, murales decorativos y soluciones a medida para transformar paredes en hogares, hoteles, restaurantes, oficinas, tiendas y espacios profesionales en España. Explora diseños contemporáneos, botánicos, artísticos, geométricos, fl",False,False,ef06b21292b2b4e39a5e85e48123ee9d050a7476fc311416b3ced36b80ac3845,DYNAMIC,,,
