lote,page,locale,target,present_on_landing,destination_status,destination_canonical_present,destination_noindex,status_final
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,es,/collections/murales,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,es,/pages/muestras,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,es,/pages/crea-tu-mural,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,es,/pages/profesionales,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,es,/collections/murales,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,es,/pages/muestras,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,es,/pages/crea-tu-mural,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,es,/pages/profesionales,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,en,/en/collections/all-matchwallsmurals-murals,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,en,/en/pages/request-your-sample,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,en,/en/pages/create-your-own-mural,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,en,/en/pages/professionals,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,en,/en/collections/all-matchwallsmurals-murals,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,en,/en/pages/request-your-sample,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,en,/en/pages/create-your-own-mural,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,en,/en/pages/professionals,true,200,true,false,VERIFICADO Y CORRECTO
