product_gid,url,status,final_url,redirected,robots_meta,x_robots_tag,has_noindex,has_nofollow,canonical,canonical_self,h1,h1_present,title,fetch_error
gid://shopify/Product/14835721306488,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,yes,Muestra de Cuadrícula Clásica Gris,yes,Muestra de Cuadrícula Clásica Gris,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,yes,Muestra de Cuadrícula Clásica Verde,yes,Muestra de Cuadrícula Clásica Verde,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,yes,Muestra de Cuadrícula Clásica Blanco y negro,yes,Muestra de Cuadrícula Clásica Blanco y negro,
gid://shopify/Product/14835719176568,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,200,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,yes,Muestra de Damas Clásicas Gris,yes,Muestra de Damas Clásicas Gris,
gid://shopify/Product/14835719307640,https://www.matchwalls.com/products/muestra-de-damas-clasicas-verde,200,https://www.matchwalls.com/products/muestra-de-damas-clasicas-verde,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-damas-clasicas-verde,yes,Muestra de Damas Clásicas Verde,yes,Muestra de Damas Clásicas Verde,
gid://shopify/Product/14858207789432,https://www.matchwalls.com/products/muestra-de-forest-study-retreat,200,https://www.matchwalls.com/products/muestra-de-forest-study-retreat,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-forest-study-retreat,yes,Muestra de Forest Study Retreat,yes,Muestra de Forest Study Retreat,
gid://shopify/Product/14835717210488,https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,200,https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,yes,Muestra de Golden Woodland Amarillo,yes,Muestra de Golden Woodland Amarillo,
gid://shopify/Product/14835717341560,https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,200,https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,yes,Muestra de Golden Woodland Lila,yes,Muestra de Golden Woodland Lila,
gid://shopify/Product/14835717079416,https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,200,https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,yes,Muestra de Golden Woodland Marrón,yes,Muestra de Golden Woodland Marrón,
gid://shopify/Product/14858732339576,https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,200,https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,yes,Muestra de Highland Plaid Marròn,yes,Muestra de Highland Plaid Marròn,
