product_gid,url,status,final_url,redirected,robots_meta,x_robots_tag,has_noindex,has_nofollow,canonical,canonical_self,h1,h1_present,title,fetch_error
gid://shopify/Product/14835721306488,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-gris,yes,Muestra de Cuadrícula Clásica Gris,yes,Muestra de Cuadrícula Clásica Gris,
gid://shopify/Product/14835721306488,https://www.matchwalls.com/en/products/gray-classic-grid-sample,200,https://www.matchwalls.com/en/products/gray-classic-grid-sample,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/en/products/gray-classic-grid-sample,yes,Gray classic grid sample,yes,Gray classic grid sample,
gid://shopify/Product/14835721306488,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-gris,200,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-gris,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-gris,yes,Échantillon de grille classique gris,yes,Échantillon de grille classique gris,
gid://shopify/Product/14835721306488,https://www.matchwalls.com/de/products/grey-classic-grid-probe,200,https://www.matchwalls.com/de/products/grey-classic-grid-probe,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/de/products/grey-classic-grid-probe,yes,Grey Classic Grid Probe,yes,Grey Classic Grid Probe,
gid://shopify/Product/14835721306488,https://www.matchwalls.com/it/products/campione-di-griglia-classica-grigia,200,https://www.matchwalls.com/it/products/campione-di-griglia-classica-grigia,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/it/products/campione-di-griglia-classica-grigia,yes,Campione di griglia classica grigia,yes,Campione di griglia classica grigia,
gid://shopify/Product/14835721306488,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-cinza,200,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-cinza,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-cinza,yes,Amostra de grade clássica cinza,yes,Amostra de grade clássica cinza,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-verde,yes,Muestra de Cuadrícula Clásica Verde,yes,Muestra de Cuadrícula Clásica Verde,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/en/products/green-classic-grid-sample,200,https://www.matchwalls.com/en/products/green-classic-grid-sample,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/en/products/green-classic-grid-sample,yes,Green classic grid sample,yes,Green classic grid sample,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-vert,200,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-vert,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-vert,yes,Échantillon de grille classique vert,yes,Échantillon de grille classique vert,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/de/products/green-classic-grid-probe,200,https://www.matchwalls.com/de/products/green-classic-grid-probe,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/de/products/green-classic-grid-probe,yes,Green Classic Grid Probe,yes,Green Classic Grid Probe,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/it/products/campione-di-griglia-classica-verde,200,https://www.matchwalls.com/it/products/campione-di-griglia-classica-verde,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/it/products/campione-di-griglia-classica-verde,yes,Campione di griglia classica verde,yes,Campione di griglia classica verde,
gid://shopify/Product/14835721175416,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-verde,200,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-verde,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-verde,yes,Amostra de grade clássica verde,yes,Amostra de grade clássica verde,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,200,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-blanco-y-negro,yes,Muestra de Cuadrícula Clásica Blanco y negro,yes,Muestra de Cuadrícula Clásica Blanco y negro,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/en/products/black-and-white-classic-grid-sample,200,https://www.matchwalls.com/en/products/black-and-white-classic-grid-sample,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/en/products/black-and-white-classic-grid-sample,yes,Black and white classic grid sample,yes,Black and white classic grid sample,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-noir-et-blanc,200,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-noir-et-blanc,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-noir-et-blanc,yes,Échantillon de grille classique noir et blanc,yes,Échantillon de grille classique noir et blanc,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/de/products/schwarz-weiss-klassiker-grid-probe,200,https://www.matchwalls.com/de/products/schwarz-weiss-klassiker-grid-probe,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/de/products/schwarz-weiss-klassiker-grid-probe,yes,Schwarz -Weiß -Klassiker Grid -Probe,yes,Schwarz -Weiß -Klassiker Grid -Probe,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/it/products/campione-di-griglia-classica-in-bianco-e-nero,200,https://www.matchwalls.com/it/products/campione-di-griglia-classica-in-bianco-e-nero,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/it/products/campione-di-griglia-classica-in-bianco-e-nero,yes,Campione di griglia classica in bianco e nero,yes,Campione di griglia classica in bianco e nero,
gid://shopify/Product/14835721372024,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-em-preto-e-branco,200,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-em-preto-e-branco,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-em-preto-e-branco,yes,Amostra de grade clássica em preto e branco,yes,Amostra de grade clássica em preto e branco,
gid://shopify/Product/14835719176568,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,200,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/products/muestra-de-damas-clasicas-gris,yes,Muestra de Damas Clásicas Gris,yes,Muestra de Damas Clásicas Gris,
gid://shopify/Product/14835719176568,https://www.matchwalls.com/en/products/gray-classic-ladies-sample,200,https://www.matchwalls.com/en/products/gray-classic-ladies-sample,no,"noindex,nofollow",,yes,yes,https://www.matchwalls.com/en/products/gray-classic-ladies-sample,yes,Gray classic ladies sample,yes,Gray classic ladies sample,
