lang,country,url,status,h1,title,robots,canonical,old_content_marker,new_content_marker,hreflang_count,estado
ES,Spain,https://www.matchwalls.com/pages/papel-pintado-espana?mwqa=012h,200,"Papel pintado en España para hogares y proyectos profesionales","Papel pintado en España para hogares y proyectos profesionales",,https://www.matchwalls.com/pages/papel-pintado-espana,false,true,8,CORREGIDO Y VERIFICADO
FR,Spain,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne?mwqa=012h,200,"Papier peint en Espagne pour intérieurs résidentiels et projets professionnels","Papier peint en Espagne pour intérieurs résidentiels et projets profes",,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,false,true,8,CORREGIDO Y VERIFICADO
EN,Spain,https://www.matchwalls.com/en/pages/spain-wallpaper?mwqa=012h,200,"Wallpaper in Spain for homes and professional projects","Wallpaper in Spain for homes and professional projects",,https://www.matchwalls.com/en/pages/spain-wallpaper,false,true,8,CORREGIDO Y VERIFICADO
DE,Spain,https://www.matchwalls.com/de/pages/spanien-tapete?mwqa=012h,200,"Tapeten in Spanien für Wohnräume und gewerbliche Projekte","Tapeten in Spanien für Wohnräume und gewerbliche Projekte",,https://www.matchwalls.com/de/pages/spanien-tapete,false,true,8,CORREGIDO Y VERIFICADO
NL,Spain,https://www.matchwalls.com/nl/pages/spanje-behang?mwqa=012h,200,"Behang in Spanje voor woningen en professionele projecten","Behang in Spanje voor woningen en professionele projecten",,https://www.matchwalls.com/nl/pages/spanje-behang,false,true,8,CORREGIDO Y VERIFICADO
ES,France,https://www.matchwalls.com/pages/papel-pintado-francia?mwqa=012h,200,"Papel pintado en Francia para interiores y proyectos profesionales","Papel pintado en Francia para interiores y proyectos profesionales",,https://www.matchwalls.com/pages/papel-pintado-francia,false,true,8,CORREGIDO Y VERIFICADO
FR,France,https://www.matchwalls.com/fr/pages/papier-peint-en-france?mwqa=012h,200,"Papier peint en France pour intérieurs résidentiels et projets professionnels","Papier peint en France pour intérieurs résidentiels et projets profess",,https://www.matchwalls.com/fr/pages/papier-peint-en-france,false,true,8,CORREGIDO Y VERIFICADO
EN,France,https://www.matchwalls.com/en/pages/french-wallpaper?mwqa=012h,200,"Wallpaper in France for interiors and professional projects","Wallpaper in France for interiors and professional projects",,https://www.matchwalls.com/en/pages/french-wallpaper,false,true,8,CORREGIDO Y VERIFICADO
DE,France,https://www.matchwalls.com/de/pages/franzosische-tapete?mwqa=012h,200,"Tapeten in Frankreich für Innenräume und gewerbliche Projekte","Tapeten in Frankreich für Innenräume und gewerbliche Projekte",,https://www.matchwalls.com/de/pages/franzosische-tapete,false,true,8,CORREGIDO Y VERIFICADO
NL,France,https://www.matchwalls.com/nl/pages/frans-behang?mwqa=012h,200,"Behang in Frankrijk voor interieurs en professionele projecten","Behang in Frankrijk voor interieurs en professionele projecten",,https://www.matchwalls.com/nl/pages/frans-behang,false,true,8,CORREGIDO Y VERIFICADO
