lot,checked_at_utc,page,locale,ua_label,status,pass,url,final_url,expected_href,has_cross_country_href,canonical,canonical_ok,robots,noindex,content_language_header,cf_cache_status,cf_ray,x_request_id,x_dc,server_timing_theme,server_timing_pageType,server_timing_servedBy,server_timing_requestID,server_timing_edge,server_timing_country,html_len,html_sha256_16,evidence_snippet,error
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:34.846656+00:00,spain,es,browser_chrome,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f0a57bf001529-MAD,7fea94a5-0d7a-4817-89aa-26300d73679d-1783177654,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,jhkr,7fea94a5-0d7a-4817-89aa-26300d73679d-1783177654,MAD,ES,547195,0030df5a7b624e57,"quiere.</p> <h2>Ciudades y zonas estratégicas</h2> <p>Si buscas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:35.601824+00:00,spain,es,googlebot,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f0a5b7acc026b-MAD,b29404d4-5426-4b3e-a81b-00d8defa5cdf-1783177655,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,t85q,b29404d4-5426-4b3e-a81b-00d8defa5cdf-1783177655,MAD,ES,547195,0030df5a7b624e57,"quiere.</p> <h2>Ciudades y zonas estratégicas</h2> <p>Si buscas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:36.259392+00:00,spain,es,bingbot,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f0a600e81013e-MAD,2f9eb41e-8e60-4753-ba34-8ebcd2a80aa5-1783177656,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,fddn,2f9eb41e-8e60-4753-ba34-8ebcd2a80aa5-1783177656,MAD,ES,547195,f1a90e4cad0e4458,"quiere.</p> <h2>Ciudades y zonas estratégicas</h2> <p>Si buscas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:36.882217+00:00,spain,es,generic_ai_search,200,FAIL,https://www.matchwalls.com/pages/papel-pintado-espana,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-francia,False,https://www.matchwalls.com/pages/papel-pintado-espana,True,,False,es-ES,DYNAMIC,a15f0a637ad9547b-MAD,e29da8f0-a488-4539-a184-7f837fd18b25-1783177656,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,8kll,e29da8f0-a488-4539-a184-7f837fd18b25-1783177656,MAD,ES,547195,f1a90e4cad0e4458,"quiere.</p> <h2>Ciudades y zonas estratégicas</h2> <p>Si buscas papel pintado en Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia o Zaragoza, MatchWalls puede servir como punto de partida para elegir diseño, material y muestra antes de avanzar con tu proyecto.</p> <h2>Preguntas frecuentes</h2> <h3>¿Puedo pedir muestras antes de comprar?</h3> <p>Sí. Las muestras ayudan a comprobar color, textura y acabado antes de decidir el papel pintado o mural definitivo.</p> <h3>¿MatchWalls trabaja con profesionales?</h3> <p>Sí. MatchWal",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:37.406826+00:00,spain,en,browser_chrome,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f0a66dfdfdd98-MAD,bab69308-b64c-4dd7-aa29-4115e21ef8ac-1783177657,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,9922,bab69308-b64c-4dd7-aa29-4115e21ef8ac-1783177657,MAD,ES,548686,9f9632754c902216,"he project requires it.</p> <h2>Strategic cities and areas</h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:38.017631+00:00,spain,en,googlebot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f0a6a8b240141-MAD,edd4b1f6-b3d3-436e-b5a9-def365e5fd88-1783177658,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,7lh9,edd4b1f6-b3d3-436e-b5a9-def365e5fd88-1783177658,MAD,ES,548686,10a44cb077a526c7,"he project requires it.</p> <h2>Strategic cities and areas</h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:38.598729+00:00,spain,en,bingbot,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f0a6e3a489bd2-MAD,93e01028-68ed-4357-93f5-c83deabc8c70-1783177658,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,9957,93e01028-68ed-4357-93f5-c83deabc8c70-1783177658,MAD,ES,548686,e087a02507e67677,"he project requires it.</p> <h2>Strategic cities and areas</h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:39.157963+00:00,spain,en,generic_ai_search,200,FAIL,https://www.matchwalls.com/en/pages/spain-wallpaper,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/french-wallpaper,False,https://www.matchwalls.com/en/pages/spain-wallpaper,True,,False,en-ES,DYNAMIC,a15f0a71bc0fcbdb-MAD,ffebcdbd-c60f-4be3-8d43-e706888ab885-1783177659,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,wpm2,ffebcdbd-c60f-4be3-8d43-e706888ab885-1783177659,MAD,ES,548686,e087a02507e67677,"he project requires it.</p> <h2>Strategic cities and areas</h2> <p>If your project is in Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia or Zaragoza, MatchWalls can be a starting point for choosing the right design, material and samples before moving forward.</p> <h2>Frequently asked questions</h2> <h3>Can I order samples before buying?</h3> <p>Yes. Samples help you check colour, texture and finish before choosing the final wallpaper or mural.</p> <h3>Does MatchWalls work with professionals?</h3> <p>Yes. MatchWalls works w",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:39.717807+00:00,spain,fr,browser_chrome,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,True,,False,fr-ES,DYNAMIC,a15f0a756d593429-MAD,76cb6427-4817-4679-ac0f-e8d157c5446f-1783177659,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,lbkp,76cb6427-4817-4679-ac0f-e8d157c5446f-1783177659,MAD,ES,552130,e6f6ec69e55e7ec6,"<!doctype html> <html class=""no-js"" lang=""fr"" dir=""ltr""> <head> <script type=""text/javascript""> (function (c, l, a, r, i, t, y) { c[a] = c[a] || function () { (c[a].q = c[a].q || []).push(arguments); }; t = l.createElement(r); t.async = 1; t.src = 'https://www.clarity.ms/tag/' + i; y = l.getElementsByTagName(r)[0]; y.parentNode.insertBefore(t, y); })(window, document, 'clarity', 'script', 'ouwok1lkcm'); </script> <!-- Google Tag Manager --> <script> (function (w, d, s, l, i) { w[l] = w[l] || []; w[l].push({ 'gtm.start': new Date().getTime(), event: 'gtm.js' }); var f = d.ge",
MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-STOREFRONT-SUPPORT-EVIDENCE-012O6,2026-07-04T15:07:40.309138+00:00,spain,fr,googlebot,200,FAIL,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,/fr/pages/papier-peint-en-france,False,https://www.matchwalls.com/fr/pages/papier-peint-en-espagne,True,,False,fr-ES,DYNAMIC,a15f0a790899035e-MAD,3d07dd7f-6799-4075-91c4-c52942610d5f-1783177660,"gcp-europe-west1,gcp-europe-west1,gcp-europe-west1",178399019384,page,2ckt,3d07dd7f-6799-4075-91c4-c52942610d5f-1783177660,MAD,ES,552130,c617630c52203e88,"<!doctype html> <html class=""no-js"" lang=""fr"" dir=""ltr""> <head> <script type=""text/javascript""> (function (c, l, a, r, i, t, y) { c[a] = c[a] || function () { (c[a].q = c[a].q || []).push(arguments); }; t = l.createElement(r); t.async = 1; t.src = 'https://www.clarity.ms/tag/' + i; y = l.getElementsByTagName(r)[0]; y.parentNode.insertBefore(t, y); })(window, document, 'clarity', 'script', 'ouwok1lkcm'); </script> <!-- Google Tag Manager --> <script> (function (w, d, s, l, i) { w[l] = w[l] || []; w[l].push({ 'gtm.start': new Date().getTime(), event: 'gtm.js' }); var f = d.ge",
