"page","lang","status","noindex","heading_present","target_href_present","anchor_present","result"
"Spain","ES","200","False","False","False","False","FAIL"
"Spain","EN","200","False","False","False","False","FAIL"
"Spain","FR","200","False","False","False","False","FAIL"
"Spain","DE","200","False","False","False","False","FAIL"
"Spain","NL","200","False","True","True","True","PASS"
"France","ES","200","False","False","False","False","FAIL"
"France","EN","200","False","False","False","False","FAIL"
"France","FR","200","False","False","False","False","FAIL"
"France","DE","200","False","True","True","True","PASS"
"France","NL","200","False","False","False","False","FAIL"
