lote,fecha,idioma,index,title,href,standby_reason,estado
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","1","3D Wallpaper","/en/collections/murals-structure-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","5","Artistic Wallpaper","/en/collections/artistic-murals-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","10","Beige Wallpaper","/en/collections/beige-painted-papers-matchwallswallpapers","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","12","Black and White Wallpaper","/en/collections/black-and-white-painted-papers-matchwallswalpapers","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","14","Blue Wallpaper","/en/collections/blue-painted-papers-matchwallswallpapers-2","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","16","Botanical Wallpaper","/en/collections/botanical-murals-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","24","Floral Wallpaper","/en/collections/floral-murals-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","25","Geometric Wallpaper","/en/collections/geometric-murals-matchwallsmurs","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","30","Graphic Wallpaper","/en/collections/graphical-murals-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","31","Gray Wallpaper","/en/collections/gray-painted-papers-matchwallswallpapers-1","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","35","Japanese Wallpaper","/en/collections/japanese-murals-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","39","Landscapes","/en/collections/mural-landscapes-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","40","New Wallpapers","/en/collections/new-matchwalls-matchwallsmurals-murals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
