lote,fecha,idioma,index,title,href,absoluteHref,flags,estado
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","1","Nuevos Papeles Pintados","/collections/nuevos-matchwalls-murales","https://www.matchwalls.com/collections/nuevos-matchwalls-murales","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","2","Ofertas","/collections/ofertas","https://www.matchwalls.com/collections/ofertas","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","3","Papel Pintado 3D","/collections/murales-estilo-estructura","https://www.matchwalls.com/collections/murales-estilo-estructura","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","4","Papel pintado Albacete","/collections/comprar-papel-pintado-albacete","https://www.matchwalls.com/collections/comprar-papel-pintado-albacete","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","5","Papel pintado Alicante","/collections/comprar-papel-pintado-alicante","https://www.matchwalls.com/collections/comprar-papel-pintado-alicante","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","6","Papel pintado Almería","/collections/comprar-papel-pintado-almeria","https://www.matchwalls.com/collections/comprar-papel-pintado-almeria","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","7","Papel Pintado Amarillo","/collections/papeles-pintados-color-amarillo","https://www.matchwalls.com/collections/papeles-pintados-color-amarillo","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","8","Papel Pintado Artístico","/collections/murales-estilo-artistico","https://www.matchwalls.com/collections/murales-estilo-artistico","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","9","Papel pintado Asturias","/collections/comprar-papel-pintado-asturias","https://www.matchwalls.com/collections/comprar-papel-pintado-asturias","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","10","Papel Pintado Autoadhesivo Peel & Stick","/collections/papel-pintado-autoadhesivo-peel-stick","https://www.matchwalls.com/collections/papel-pintado-autoadhesivo-peel-stick","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","11","Papel Pintado Azul","/collections/papeles-pintados-color-azul","https://www.matchwalls.com/collections/papeles-pintados-color-azul","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","12","Papel pintado Badajoz","/collections/comprar-papel-pintado-badajoz","https://www.matchwalls.com/collections/comprar-papel-pintado-badajoz","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","13","Papel pintado Barcelona","/collections/comprar-papel-pintado-barcelona","https://www.matchwalls.com/collections/comprar-papel-pintado-barcelona","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","14","Papel Pintado Beige","/collections/papeles-pintados-color-beige","https://www.matchwalls.com/collections/papeles-pintados-color-beige","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","15","Papel pintado Bizkaia","/collections/comprar-papel-pintado-bizkaia","https://www.matchwalls.com/collections/comprar-papel-pintado-bizkaia","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","16","Papel Pintado Black Friday","/collections/papel-pintado-black-friday","https://www.matchwalls.com/collections/papel-pintado-black-friday","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","17","Papel Pintado Blanco","/collections/papeles-pintados-color-blanco","https://www.matchwalls.com/collections/papeles-pintados-color-blanco","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","18","Papel Pintado Blanco y Negro","/collections/papeles-pintados-color-blanco-y-negro","https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","19","Papel Pintado Botánico","/collections/murales-estilo-botanico","https://www.matchwalls.com/collections/murales-estilo-botanico","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","20","Papel Pintado Burdeos","/collections/comprar-papel-pintado-burdeos","https://www.matchwalls.com/collections/comprar-papel-pintado-burdeos","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","21","Papel pintado Burgos","/collections/comprar-papel-pintado-burgos","https://www.matchwalls.com/collections/comprar-papel-pintado-burgos","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","22","Papel pintado Cantabria","/collections/comprar-papel-pintado-cantabria","https://www.matchwalls.com/collections/comprar-papel-pintado-cantabria","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","23","Papel pintado Castellón","/collections/comprar-papel-pintado-castellon","https://www.matchwalls.com/collections/comprar-papel-pintado-castellon","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","24","Papel pintado Ciudad Real","/collections/comprar-papel-pintado-ciudad-real","https://www.matchwalls.com/collections/comprar-papel-pintado-ciudad-real","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","25","Papel pintado Cuenca","/collections/comprar-papel-pintado-cuenca","https://www.matchwalls.com/collections/comprar-papel-pintado-cuenca","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","26","Papel pintado Cáceres","/collections/comprar-papel-pintado-caceres","https://www.matchwalls.com/collections/comprar-papel-pintado-caceres","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","27","Papel pintado Cádiz","/collections/comprar-papel-pintado-cadiz","https://www.matchwalls.com/collections/comprar-papel-pintado-cadiz","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","28","Papel pintado Córdoba","/collections/comprar-papel-pintado-cordoba","https://www.matchwalls.com/collections/comprar-papel-pintado-cordoba","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","29","Papel Pintado de Paisajes","/collections/murales-estilo-paisajes","https://www.matchwalls.com/collections/murales-estilo-paisajes","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","30","Papel Pintado Dorado","/collections/papeles-pintados-color-dorado","https://www.matchwalls.com/collections/papeles-pintados-color-dorado","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","31","Papel Pintado Estilos Geométricos","/collections/murales-estilo-geometrico","https://www.matchwalls.com/collections/murales-estilo-geometrico","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","32","Papel Pintado Estrasburgo","/collections/comprar-papel-pintado-estrasburgo","https://www.matchwalls.com/collections/comprar-papel-pintado-estrasburgo","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","33","Papel Pintado Floral","/collections/murales-estilo-floral","https://www.matchwalls.com/collections/murales-estilo-floral","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","34","Papel pintado Gipuzkoa","/collections/comprar-papel-pintado-gipuzkoa","https://www.matchwalls.com/collections/comprar-papel-pintado-gipuzkoa","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","35","Papel pintado Girona","/collections/comprar-papel-pintado-girona","https://www.matchwalls.com/collections/comprar-papel-pintado-girona","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","36","Papel pintado Granada","/collections/comprar-papel-pintado-granada","https://www.matchwalls.com/collections/comprar-papel-pintado-granada","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","37","Papel Pintado Gris","/collections/papeles-pintados-color-gris","https://www.matchwalls.com/collections/papeles-pintados-color-gris","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","38","Papel Pintado Gráfico","/collections/murales-estilo-grafico","https://www.matchwalls.com/collections/murales-estilo-grafico","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","39","Papel pintado Guadalajara","/collections/comprar-papel-pintado-guadalajara","https://www.matchwalls.com/collections/comprar-papel-pintado-guadalajara","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","40","Papel Pintado Habitación Adolescentes","/collections/murales-para-habitaciones-de-adolescentes","https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","41","Papel pintado Huelva","/collections/comprar-papel-pintado-huelva","https://www.matchwalls.com/collections/comprar-papel-pintado-huelva","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","42","Papel pintado Huesca","/collections/comprar-papel-pintado-huesca","https://www.matchwalls.com/collections/comprar-papel-pintado-huesca","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","43","Papel Pintado Japonés","/collections/murales-estilo-japones","https://www.matchwalls.com/collections/murales-estilo-japones","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","44","Papel pintado Jaén","/collections/comprar-papel-pintado-jaen","https://www.matchwalls.com/collections/comprar-papel-pintado-jaen","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","45","Papel pintado La Coruña","/collections/comprar-papel-pintado-la-coruna","https://www.matchwalls.com/collections/comprar-papel-pintado-la-coruna","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","46","Papel pintado La Rioja","/collections/comprar-papel-pintado-la-rioja","https://www.matchwalls.com/collections/comprar-papel-pintado-la-rioja","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","47","Papel pintado Álava","/collections/comprar-papel-pintado-alava","https://www.matchwalls.com/collections/comprar-papel-pintado-alava","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","48","Papel pintado Ávila","/collections/comprar-papel-pintado-avila","https://www.matchwalls.com/collections/comprar-papel-pintado-avila","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","1","3D Wallpaper","/en/collections/murals-structure-matchwallsmurals","https://www.matchwalls.com/en/collections/murals-structure-matchwallsmurals","HANDLE_STANDBY_BRAND_LEGACY","STANDBY"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","2","Albacete Wallpaper","/en/collections/albacete-wallpaper","https://www.matchwalls.com/en/collections/albacete-wallpaper","","VERIFICADO Y CORRECTO"
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","3","Alicante Wallpaper","/en/collections/alicante-wallpaper","https://www.matchwalls.com/en/collections/alicante-wallpaper","","VERIFICADO Y CORRECTO"
