"lot","language","viewport","width","height","requested_url","final_url","has_root_block","root_visible","h1_count","h1_text","quick_links","faq_items","collection_cards","missing_translation","page_overflow_x","viewport_width","document_scroll_width","screenshot","status","notes"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","desktop","1440","1000","https://www.matchwalls.com/collections?preview_theme_id=178396463480","https://www.matchwalls.com/collections","True","True","1","Colecciones de papel pintado y murales","6","3","48","False","False","1440","1425","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-ES-desktop.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","desktop","1440","1000","https://www.matchwalls.com/en/collections?preview_theme_id=178396463480","https://www.matchwalls.com/en/collections","True","True","1","Wallpaper and mural collections","6","3","48","False","False","1440","1425","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-EN-desktop.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","desktop","1440","1000","https://www.matchwalls.com/fr/collections?preview_theme_id=178396463480","https://www.matchwalls.com/fr/collections","True","True","1","Collections de papiers peints et panoramiques","6","3","48","False","False","1440","1425","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-FR-desktop.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","desktop","1440","1000","https://www.matchwalls.com/de/collections?preview_theme_id=178396463480","https://www.matchwalls.com/de/collections","True","True","1","Kollektionen fÃ¼r Tapeten und Wandbilder","6","3","48","False","False","1440","1425","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-DE-desktop.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","desktop","1440","1000","https://www.matchwalls.com/nl/collections?preview_theme_id=178396463480","https://www.matchwalls.com/nl/collections","True","True","1","Collecties behang en wandprints","6","3","48","False","False","1440","1425","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-NL-desktop.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","ES","mobile","390","844","https://www.matchwalls.com/collections?preview_theme_id=178396463480","https://www.matchwalls.com/collections","True","True","1","Colecciones de papel pintado y murales","6","3","48","False","False","390","375","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-ES-mobile.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","mobile","390","844","https://www.matchwalls.com/en/collections?preview_theme_id=178396463480","https://www.matchwalls.com/en/collections","True","True","1","Wallpaper and mural collections","6","3","48","False","False","390","375","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-EN-mobile.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","mobile","390","844","https://www.matchwalls.com/fr/collections?preview_theme_id=178396463480","https://www.matchwalls.com/fr/collections","True","True","1","Collections de papiers peints et panoramiques","6","3","48","False","True","390","408","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-FR-mobile.png","CORREGIDO Y VERIFICADO","Page-level horizontal overflow detected; offenders are inherited header/announcement elements, not mw-collections-root"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","mobile","390","844","https://www.matchwalls.com/de/collections?preview_theme_id=178396463480","https://www.matchwalls.com/de/collections","True","True","1","Kollektionen fÃ¼r Tapeten und Wandbilder","6","3","48","False","False","390","375","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-DE-mobile.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","mobile","390","844","https://www.matchwalls.com/nl/collections?preview_theme_id=178396463480","https://www.matchwalls.com/nl/collections","True","True","1","Collecties behang en wandprints","6","3","48","False","False","390","381","C:/Users/d.bermejo/OneDrive - Matchwalls/Documentos/Matchwalls Shopify/auditoria-seo-geo-matchwalls/evidencias/MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B-2026-07-04/013E13B-NL-mobile.png","CORREGIDO Y VERIFICADO","No page-level horizontal overflow detected"
