id,path,target
gid://shopify/UrlRedirect/405087486179,/pages/sobre-nosotros-1,/pages/sobre-nosotros
gid://shopify/UrlRedirect/405088796899,/pages/como-tomar-medidas-paredes-y-techos-boton,/pages/medidas-paredes-techos
gid://shopify/UrlRedirect/405254897891,/collections/kids,/collections/kids-rollos
gid://shopify/UrlRedirect/405255127267,/collections/elegancia-asegurada,/collections/elegancia-asegurada-murales
gid://shopify/UrlRedirect/408237834467,/products/poster-de-papel-mate-calidad-museo-con-marco-de-madera,/products/echoing-corridor-3
gid://shopify/UrlRedirect/408370151651,/products/endless-horizon-3,/products/echoing-corridor
gid://shopify/UrlRedirect/408471535843,/products/blue-dot-harmony-gris-copia,/products/blue-dot-harmony-rosa-1
gid://shopify/UrlRedirect/408474484963,/products/rusted-horizon-marron-copia,/products/ember-glow-marron
gid://shopify/UrlRedirect/408478843107,/collections/patrones-grandes-rollos,/collections/papel-pintado-estampado-grande
gid://shopify/UrlRedirect/408478875875,/collections/patrones-pequenos-rollos,/collections/papel-pintado-estampados-pequenos
gid://shopify/UrlRedirect/408478908643,/collections/rayas-rollos,/collections/papel-pintado-rayas
gid://shopify/UrlRedirect/408478974179,/collections/semi-lisos-rollos,/collections/semi-lisos-papel-pintado
gid://shopify/UrlRedirect/408479006947,/collections/moderno-rollos,/collections/moderno-papel-pintado
gid://shopify/UrlRedirect/408506761443,/products/punto-de-conexion-negro-copia,/products/punto-de-conexion-blanco-negro
gid://shopify/UrlRedirect/408513249507,/products/ethereal-groves-azul-copia,/products/ethereal-flow-blanco-negro
gid://shopify/UrlRedirect/408513315043,/products/ethereal-flow-blanco-y-negro-copia,/products/ethereal-flow-verde
gid://shopify/UrlRedirect/408513380579,/products/ethereal-flow-verde-copia,/products/ethereal-flow-azul
gid://shopify/UrlRedirect/408514101475,/products/linear-dynamics-rojo-copia,/products/linear-dynamics-rosa-2
gid://shopify/UrlRedirect/408514134243,/products/linear-dynamics-azul-marino-copia,/products/linear-dynamics-azul-blanco
gid://shopify/UrlRedirect/408514429155,/products/urban-sketch-beige-copia,/products/melodic-flow
gid://shopify/UrlRedirect/408525799651,/products/muestra-de-enchanted-garden-symphony-multicolor-copia,/products/muestra-de-enchanted-garden-symphony-negro-copia
gid://shopify/UrlRedirect/408525930723,/products/urban-geometrico,/products/urban-geometrico-beige
gid://shopify/UrlRedirect/408525996259,/products/urban-geometrico-beige-copia,/products/urban-geometrico-gris
gid://shopify/UrlRedirect/408531534051,/products/vetasde-luz-blanco,/products/vetas-de-luz-blanco
gid://shopify/UrlRedirect/408531763427,/products/muestra-eternal-marble-elegance-multicolor,/products/muestra-aurora-maritima-rosa
