"field","value","estado","nota"
"approval","APROBADO LOTE MW-INDEXNOW-APP-I18N-LANGUAGES-ACTIVATION-013I3","VERIFICADO Y CORRECTO","Aprobación exacta recibida."
"user_confirmation","GUARDADO 013I3","VERIFICADO Y CORRECTO","Confirmación manual de Daniel."
"Spanish default","active","CORREGIDO Y VERIFICADO","Ya activo y bloqueado/no editable."
"English","active","CORREGIDO Y VERIFICADO","Idioma prioritario activado."
"French","active","CORREGIDO Y VERIFICADO","Idioma prioritario activado."
"German","active","CORREGIDO Y VERIFICADO","Idioma prioritario activado."
"Dutch","active","CORREGIDO Y VERIFICADO","Idioma prioritario activado."
"Italian","inactive","VERIFICADO Y CORRECTO","Fuera del alcance prioritario."
"European Portuguese","inactive","VERIFICADO Y CORRECTO","Fuera del alcance prioritario."
"Other languages","inactive","VERIFICADO Y CORRECTO","No prioritarios."
"last_30_days_submissions_after_save","1","CORREGIDO Y VERIFICADO","No hubo envío retroactivo masivo tras activar idiomas."
"failed_submissions_after_save","0","CORREGIDO Y VERIFICADO","Sin fallos visibles."
"failure_rate_after_save","0.0%","CORREGIDO Y VERIFICADO","Sin fallos visibles."
"manual_submissions","not_touched","VERIFICADO Y CORRECTO","No se usaron envíos manuales."
