"category","item","state","editable","estado","nota"
"content_type","Products","active","yes","VERIFICADO Y CORRECTO","Auto-submit activo para cambios de productos."
"content_type","Collections","active","yes","VERIFICADO Y CORRECTO","Auto-submit activo para cambios de colecciones."
"content_type","Pages","active","yes","VERIFICADO Y CORRECTO","Auto-submit activo para cambios de páginas."
"content_type","Blog posts","active","yes","VERIFICADO Y CORRECTO","Auto-submit activo para cambios de artículos."
"language_priority","Spanish (default)","active","no","VERIFICADO Y CORRECTO","Idioma default activo y bloqueado/no editable."
"language_priority","English","inactive","yes","VERIFICADO PERO MEJORABLE","Idioma prioritario EN inactivo; requiere decisión."
"language_priority","French","inactive","yes","VERIFICADO PERO MEJORABLE","Idioma prioritario FR inactivo; requiere decisión."
"language_priority","German","inactive","yes","VERIFICADO PERO MEJORABLE","Idioma prioritario DE inactivo; requiere decisión."
"language_priority","Dutch","inactive","yes","VERIFICADO PERO MEJORABLE","Idioma prioritario NL inactivo; requiere decisión."
"language_non_priority","Italian","inactive","yes","VERIFICADO Y CORRECTO","Fuera de alcance prioritario; mantener inactivo salvo decisión."
"language_non_priority","European Portuguese","inactive","yes","VERIFICADO Y CORRECTO","Fuera de alcance prioritario; mantener inactivo salvo decisión."
"billing","Monthly plan 5 EUR/USD equivalent","declared_by_user","unknown","DECLARADO PERO NO VERIFICADO","Daniel confirmó mensual; Pricing no verificable por timeout."
"billing","Annual/lifetime not accepted","declared_by_user","unknown","DECLARADO PERO NO VERIFICADO","Daniel confirmó no anual/no lifetime; confirmar en Facturación."
"log","www.matchwalls.com Home updated","submitted_success","n/a","VERIFICADO Y CORRECTO","1 envío visible, 0 fallos, failure rate 0.0%."
