theme_id,name,role,prefix,createdAt,updatedAt,themeStoreId,processing,processingFailed,cleanup_status,decision
gid://shopify/OnlineStoreTheme/138693968099,"MatchWalls/Original/ NO ELIMINAR",UNPUBLISHED,/t/4,2024-02-06T11:16:23Z,2024-02-19T12:28:35Z,1190,false,false,STANDBY,"No eliminar: nombre explícito NO ELIMINAR"
gid://shopify/OnlineStoreTheme/138921083107,"MatchWalls/main OLD",UNPUBLISHED,/t/7,2024-02-19T12:50:42Z,2024-03-22T08:17:45Z,1190,false,false,STANDBY,"Conservar por posible referencia histórica main old"
gid://shopify/OnlineStoreTheme/139013456099,"Webmefy OLD ",UNPUBLISHED,/t/8,2024-02-24T14:01:18Z,2024-07-21T20:46:47Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato secundario, no borrar en primer pase"
gid://shopify/OnlineStoreTheme/141270778083,"Dev David",UNPUBLISHED,/t/23,2024-07-05T11:12:54Z,2024-07-21T20:46:47Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato secundario, nombre personal; no borrar primero"
gid://shopify/OnlineStoreTheme/141368262883,"Dev David (Pruebas Gloria)",UNPUBLISHED,/t/25,2024-07-11T06:46:25Z,2024-07-21T20:46:48Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato secundario, pruebas antiguas; no borrar primero"
gid://shopify/OnlineStoreTheme/141375340771,"Production - 24/08/2024",UNPUBLISHED,/t/26,2024-07-11T17:33:49Z,2024-09-09T18:09:33Z,,false,false,STANDBY,"Conservar como posible reversión histórica de producción"
gid://shopify/OnlineStoreTheme/141375406307,"Dev",UNPUBLISHED,/t/27,2024-07-11T17:38:11Z,2024-07-21T20:46:51Z,,false,false,CORREGIDO Y VERIFICADO,"CANDIDATO ÚNICO 016B: tema dev genérico antiguo sin rol actual"
gid://shopify/OnlineStoreTheme/141375439075,"Staging",UNPUBLISHED,/t/28,2024-07-11T17:38:12Z,2024-07-21T20:46:49Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato secundario si hace falta otro hueco"
gid://shopify/OnlineStoreTheme/142267973859,"Production",UNPUBLISHED,/t/29,2024-09-01T21:37:05Z,2026-06-12T15:53:31Z,,false,false,STANDBY,"Conservar por actualización reciente y posible reversión"
gid://shopify/OnlineStoreTheme/142418575587,"Copy of Production",UNPUBLISHED,/t/31,2024-09-09T19:02:19Z,2024-09-10T08:59:25Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato futuro, no primer pase"
gid://shopify/OnlineStoreTheme/142694351075,"Copy of Production",UNPUBLISHED,/t/33,2024-09-24T18:40:14Z,2024-09-24T18:40:28Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato futuro, no primer pase"
gid://shopify/OnlineStoreTheme/176538845560,"Zoom dev",UNPUBLISHED,/t/37,2024-11-20T18:43:05Z,2024-11-20T18:43:27Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato futuro, no primer pase"
gid://shopify/OnlineStoreTheme/176724410744,"Copy of Production",UNPUBLISHED,/t/39,2025-01-22T15:56:30Z,2025-01-22T15:56:51Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato futuro, no primer pase"
gid://shopify/OnlineStoreTheme/176746496376,"Copy of Production",UNPUBLISHED,/t/40,2025-01-29T10:14:06Z,2025-01-29T10:14:30Z,,false,false,VERIFICADO PERO MEJORABLE,"Candidato futuro, no primer pase"
gid://shopify/OnlineStoreTheme/178379293048,"Production - SEO fix AggregateRating (2026-06-12)",UNPUBLISHED,/t/41,2026-06-12T14:21:38Z,2026-06-15T22:42:44Z,,false,false,STANDBY,"Conservar: hotfix SEO reciente"
gid://shopify/OnlineStoreTheme/178383585656,"SEO-GEO staging - 2026-06-15",UNPUBLISHED,/t/42,2026-06-15T12:00:57Z,2026-06-15T21:07:45Z,,false,false,INCORRECTO,"No borrar hoy: conservar evidencia de staging incorrecto hasta cierre documental"
gid://shopify/OnlineStoreTheme/178383749496,"SEO schema hotfix - 2026-06-15",UNPUBLISHED,/t/43,2026-06-15T12:33:28Z,2026-06-18T11:41:50Z,,false,false,STANDBY,"Conservar: referencia schema/hotfix"
gid://shopify/OnlineStoreTheme/178390401400,"MW-FOOTER-I18N-001 - QA - 2026-06-17",UNPUBLISHED,/t/44,2026-06-17T08:12:29Z,2026-06-18T09:32:31Z,,false,false,STANDBY,"Conservar: QA i18n/footer"
gid://shopify/OnlineStoreTheme/178396463480,"MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...",UNPUBLISHED,/t/45,2026-06-18T10:17:37Z,2026-07-04T23:06:03Z,,false,false,STANDBY,"Conservar: QA/H1 reciente y actualizado"
gid://shopify/OnlineStoreTheme/178399019384,"MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18",MAIN,/t/46,2026-06-18T18:30:16Z,2026-07-05T04:00:31Z,,false,false,VERIFICADO Y CORRECTO,"MAIN activo; protegido; no eliminar"

