"theme_id","name","role","prefix","updatedAt","processing","processingFailed","estado_012L3","comentario"
"gid://shopify/OnlineStoreTheme/138693968099","MatchWalls/Original/ NO ELIMINAR","UNPUBLISHED","/t/4","2024-02-19T12:28:35Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/138921083107","MatchWalls/main OLD","UNPUBLISHED","/t/7","2024-03-22T08:17:45Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/139013456099","Webmefy OLD ","UNPUBLISHED","/t/8","2024-07-21T20:46:47Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/141270778083","Dev David","UNPUBLISHED","/t/23","2024-07-21T20:46:47Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/141368262883","Dev David (Pruebas Gloria)","UNPUBLISHED","/t/25","2024-07-21T20:46:48Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/141375340771","Production - 24/08/2024","UNPUBLISHED","/t/26","2024-09-09T18:09:33Z","false","false","STANDBY","Tema antiguo; conservar como historico/reversion si aplica"
"gid://shopify/OnlineStoreTheme/141375406307","Dev","UNPUBLISHED","/t/27","2024-07-21T20:46:51Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/141375439075","Staging","UNPUBLISHED","/t/28","2024-07-21T20:46:49Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/142267973859","Production","UNPUBLISHED","/t/29","2026-06-12T15:53:31Z","false","false","STANDBY","Tema previo; no usar para schema"
"gid://shopify/OnlineStoreTheme/142418575587","Copy of Production","UNPUBLISHED","/t/31","2024-09-10T08:59:25Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/142694351075","Copy of Production","UNPUBLISHED","/t/33","2024-09-24T18:40:28Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/176538845560","Zoom dev","UNPUBLISHED","/t/37","2024-11-20T18:43:27Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/176724410744","Copy of Production","UNPUBLISHED","/t/39","2025-01-22T15:56:51Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/176746496376","Copy of Production","UNPUBLISHED","/t/40","2025-01-29T10:14:30Z","false","false","STANDBY","Tema antiguo; no usar para schema"
"gid://shopify/OnlineStoreTheme/178379293048","Production - SEO fix AggregateRating (2026-06-12)","UNPUBLISHED","/t/41","2026-06-15T22:42:44Z","false","false","STANDBY","Tema previo; no usar para schema 012L"
"gid://shopify/OnlineStoreTheme/178383585656","SEO-GEO staging - 2026-06-15","UNPUBLISHED","/t/42","2026-06-15T21:07:45Z","false","false","INCORRECTO","microdata-schema no coincide con MAIN"
"gid://shopify/OnlineStoreTheme/178383749496","SEO schema hotfix - 2026-06-15","UNPUBLISHED","/t/43","2026-06-18T11:41:50Z","false","false","STANDBY","Tema de reversion/schema hotfix; no contaminar si hay otro candidato"
"gid://shopify/OnlineStoreTheme/178390401400","MW-FOOTER-I18N-001 - QA - 2026-06-17","UNPUBLISHED","/t/44","2026-06-18T09:32:31Z","false","false","STANDBY","Tema de footer/i18n; no usar para schema"
"gid://shopify/OnlineStoreTheme/178396463480","MW-THEME-PAGE-H1-SEMANTIC-008E - ISOLATED QA - ...","UNPUBLISHED","/t/45","2026-06-26T21:36:42Z","false","false","VERIFICADO PERO MEJORABLE","Destino recomendado solo para QA aislada de schema; no publicar directo"
"gid://shopify/OnlineStoreTheme/178399019384","MW-TECH-JS-ADD-EVENT-LISTENER-010A-QA-2026-06-18","MAIN","/t/46","2026-06-30T16:29:38Z","false","false","VERIFICADO Y CORRECTO","MAIN actual; protegido; no escribir"

