field,value
lote,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R
date,2026-07-05
mode,solo lectura / safety gate
input_public_qa,public-url-qa-final-MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6-2026-07-05.csv
pending_urls_before_retry,36
safety_gate_urls_checked,5
status_200,3
status_429,0
status_500,2
affected_pop,MAD
shopify_request_ids_present_on_500,yes
full_qa_completed,no
stop_reason,"2/5 URLs returned HTTP 500 during safety gate; avoid more crawling and update Shopify ticket 68731900"
shopify_changed,no
bing_changed,no
indexnow_changed,no
cloudflare_changed,no
recommended_next_lote,MW-SHOPIFY-INFRA-500-REQUEST-ID-UPDATE-013J6R1
final_state,RIESGO CRITICO
